identifier,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya,Upload,Download,Latency,Condition
263,156.62062465739004,159.9606043618068,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,30.0,1326449.6164893303,1338120.4354856508,29.115408800000004,32.8407536,0.013,0.013,42.23842666666663,44.31442666666669,21160.56102885944,9595.061166846122,31.92000000000001,39.725,163.30945744445953,159.9534722709426,1369220.4881757142,1353630.831970977,1280.0,1280.0,30.0,29.0,0.7408631999999999,0.9280666,0.001097619047619,0.0007409543285612,0.1235717999999999,0.1270049999999999,0.0,0.0,0.0,0.0,0.1248687999999999,0.127667,0.1243893999999999,0.1277983999999999,61643.5266636,104792.185536,20000.0,5000,100,16.0
264,161.30593886350383,160.4754309723873,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,30.0,1366753.8705329895,1364328.750199179,22.6784958,26.1627908,0.01,0.009,32.70088666666668,36.51431333333335,16987.930600459982,22667.95836615672,40.00000000000004,40.00000000000003,163.45010540498347,162.2120473027826,1384203.2843094654,1371096.072058815,1280.0,1280.0,30.0,30.0,1.1126024,1.0645372,0.0012327699329623,0.0008238607339694,0.2745514,0.2716829999999999,0.0,0.0,0.0,0.0,0.2728758,0.272632,0.274588,0.2725711999999999,61231.7406204,105145.920192,20000.0,25000,250,7.1
265,86.61574812937708,39.19942071262431,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,1.5426999999999995,29.0,18.0,646521.2956594749,298146.09128048585,84.494778,58.8259841,0.023,0.0576999999999999,201.4622032258064,177.70507482758626,24313.37262195484,9397.686420614777,248.15999999999997,298.45357142857137,39.60935074327124,81.33706574150875,319002.5083763426,625659.3364321502,1280.0,1280.0,7.6,29.0,56.9158911,72.25688319999999,84.96406867054509,77.89804398496238,0.6971925999999999,0.6474547999999999,0.0,0.0,0.0,0.0,0.6989086,0.7058869999999999,0.6543851999999999,0.7158551,61448.2321509,104912.146464,1000.0,50000,550,54.0
266,69.25329003619997,68.8129931230311,0.0,0.0,960.0,1280.0,540.0,720.0,0.0,1.385,25.4,23.1,511157.5813777841,516911.8747004993,64.1734812,79.48400880000001,0.0229,0.0266,156.1671451612904,289.3438774193552,9434.34578439515,12216.360828880566,241.804347826087,367.86500000000046,71.53482694804723,73.99760006995345,547817.6456447676,556684.5578239508,1280.0,960.0,27.1,30.0,56.179159,114.5840935,57.37328132953051,31.52588620452988,0.3453491000000001,0.3112187,0.0,0.0,0.0,0.0,0.3029859,0.3015989,0.4880938000000003,0.299309,60689.3688324,103277.85144,1000.0,25000,250,57.2
267,159.7981227278919,156.45498326049906,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,30.0,1330990.052903787,1326950.033445125,31.1972549,35.6581585,0.011,0.012,49.17090999999999,49.06927333333332,7764.983214295841,3848.726316265248,60.88421573478472,47.93333333333331,163.2809470220693,162.953514467238,1373066.40579603,1354882.8984182496,1280.0,1280.0,30.0,30.0,2.05953,1.0904855,0.5147047459893044,0.0007833402818308,0.4243879,0.4212374,0.0,0.0,0.0,0.0,0.4266725999999999,0.4208785,0.4219254999999999,0.4266268,61752.5458767,99069.704784,5000.0,50000,400,28.0
268,149.9370001422355,154.485149821842,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,29.2,1272962.544602668,1289922.266710714,38.9153328,26.039449,0.012,0.011,66.87771333333335,42.06229333333333,21271.660418409738,17887.3082531709,56.760000000000005,59.0,159.22227921403456,153.35746307579055,1322569.8532670275,1307737.1396566154,1280.0,1280.0,30.0,30.0,5.0535604,4.407557000000001,0.0011559139784938,0.0007977589134125,0.771664,0.7807554,0.0,0.0,0.0,0.0,0.7780178,0.775479,0.7766268,0.7969025999999999,60195.588894,102943.268544,5000.0,25000,750,35.2
269,86.38379149389931,56.65205347040396,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.2850000000000007,29.0,25.0,649376.2043422686,428300.3477794103,72.29077960000001,75.8588244,0.023,0.0304,134.76507333333336,153.45681333333317,9536.694053499132,20288.841848074557,103.27999999999992,207.85739130434783,70.44398382093681,87.38355756013704,535002.7092658643,652407.6202574484,1280.0,1280.0,28.8,30.0,43.48589080000001,57.55198560000001,55.42876666666669,48.628477553763474,0.1882995999999999,0.1618653999999999,0.0,0.0,0.0,0.0,0.168271,0.1463104,0.2036801999999999,0.1667451999999999,61579.2853116,104791.859424,1000.0,5000,100,66.1
270,41.00955255814775,24.997830579201977,0.0,0.0,480.0,640.0,270.0,360.0,0.0,0.702,29.0,15.0,257328.4964835686,155338.51904560742,45.757264,48.169412,0.016,0.042,105.59596666666664,157.46966666666657,14445.805320799454,17545.085378139003,427.4999999999998,396.5999999999997,18.99791192116841,39.99175241807899,114150.59807042392,242973.8909912807,640.0,480.0,7.0,30.0,36.031631,25.528311,212.85549999999984,41.27556818181817,0.932953,0.7989809999999999,0.0,0.0,0.0,0.01171875,1.305878,0.947952,0.991562,0.8876649999999999,62007.653043,105192.17568,500.0,2000,750,100.1
271,82.01041859641846,57.42027179312305,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.6408000000000006,28.0,17.0,605035.8070319595,452949.69844332826,55.747617000000005,63.6596582,0.0252,0.026,116.5227733333334,152.4364741935483,1066.490746664965,12985.43404407013,351.2425531914895,166.44637681159375,65.19068413496835,79.94575212950842,532589.2966177445,597375.5880763861,1280.0,1280.0,14.800000000000004,26.2,69.98879600000002,100.8176486,115.88971500701264,93.460317948718,0.670056,0.6063506,0.0,0.0,0.015625,0.0,0.6271205999999999,0.5970034,0.7267396,0.605621,60371.3206026,103190.528736,1000.0,5000,550,69.1
272,155.53363653385512,154.11322811916347,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.209,30.0,30.0,1316359.6223581496,1289224.0863631356,28.7277755,31.5331225,0.0125,0.013,42.534349999999975,44.147466666666666,7938.3143690240095,15163.15254824792,51.72304439746303,76.37755102040813,152.46724581954936,155.58352787141632,1270305.5488783433,1311927.5787336193,1280.0,1280.0,30.0,30.0,0.9400105,0.9650315,0.0011072717401716,0.0007604289527591,0.1274414999999999,0.1216579999999999,0.0,0.0,0.0,0.0,0.1265105,0.137581,0.1295469999999999,0.1279679999999999,61115.608386,103742.71896,5000.0,12000,100,36.0
