identifier ,IT01V_packetsRecieved_ellen ,IT01V_packetsRecieved_aadya ,IT01V_packetsLost_ellen ,IT01V_packetsLost_aadya ,IT01V_frameWidth_ellen ,IT01V_frameWidth_aadya ,IT01V_frameHeight_ellen ,IT01V_frameHeight_aadya ,IT01V_totalFreezesDuration_ellen ,IT01V_totalFreezesDuration_aadya ,IT01V_framesPerSecond_ellen ,IT01V_framesPerSecond_aadya ,IT01V_bytesReceived_in_bits_s_ellen ,IT01V_bytesReceived_in_bits_s_aadya ,IT01V_totalProcessingDelay_ellen ,IT01V_totalProcessingDelay_aadya ,IT01V_jitter_ellen ,IT01V_jitter_aadya ,IT01V_jitterBufferDelay_emissions_ellen ,IT01V_jitterBufferDelay_emissions_aadya ,IT01A_bytesReceived_in_bits_s_ellen ,IT01A_bytesReceived_in_bits_s_aadya ,IT01A_jitterBufferDelay_emissions_ellen ,IT01A_jitterBufferDelay_emissions_aadya ,OT01V_packetsSent_s_ellen ,OT01V_packetsSent_s_aadya ,OT01V_bytesSent_in_bits_s_ellen ,OT01V_bytesSent_in_bits_s_aadya ,OT01V_frameWidth_ellen ,OT01V_frameWidth_aadya ,OT01V_framesPerSecond_ellen ,OT01V_framesPerSecond_aadya ,OT01V_totalPacketSendDelay_ellen ,OT01V_totalPacketSendDelay_aadya ,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen ,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya ,RIV_roundTripTime_ellen ,RIV_roundTripTime_aadya ,RIV_fractionLost_ellen ,RIV_fractionLost_aadya ,RIA_fractionLost_ellen ,RIA_fractionLost_aadya ,RIA_roundTripTime_ellen ,RIA_roundTripTime_aadya ,ROA_roundTripTime_ellen ,ROA_roundTripTime_aadya ,AP_totalPlayoutDelay_ellen ,AP_totalPlayoutDelay_aadya ,Upload_x ,Download_x ,Latency_x ,Condition_x ,Upload_y ,Download_y ,Latency_y ,Condition_y
        14 ,        156.8567673161457   ,        158.936907303176    ,     0.0                ,                    0.0 ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,               0.0               ,         29.0               ,         30.0               ,                1332327.394355683   ,               1334230.354666586    ,              31.281447          ,              35.714381          ,0.012              ,0.013              ,                     55.07533333333334  ,                     63.47363333333339  ,                15399.427244508232  ,                 13582.4520883326   ,                     38.39999999999998  ,                     41.66666666666666  ,      155.50635760112928  ,      156.90367246708806  ,           1338687.87520916     ,            1331135.5831885317  ,                1280.0 ,                1280.0 ,         30.0               ,         30.0               ,             14.039829999999998  ,              7.458396           ,                                0.0011229946524018 ,                                0.0013431952662707 ,     0.570831           ,     0.5719759999999999 ,    0.0                ,                   0.0 ,    0.0                ,    0.0                ,     0.574051           ,     0.578232           ,     0.571198           ,     0.572342           ,        61113.786615       ,        100268.35584       ,  5000.0 ,     25000 ,      400 ,       18.1 ,  5000.0 ,     12000 ,      550 ,       39.2
        15 ,        146.89773240599024  ,        116.954381616515    ,     0.0                ,                    0.0 ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,               0.0               ,         26.0               ,         29.0               ,                1190699.9023526355  ,                920448.9763037604   ,              60.601851          ,              55.649985          ,0.029              ,0.025              ,                    130.18200000000004  ,                    118.2995999999998   ,                 8416.97528695809   ,                 25249.85167094038  ,                    154.86486486486496  ,                    140.0               ,      114.035942916044    ,      143.94385429724926  ,            888552.0621571951   ,            1202970.7778852892  ,                1280.0 ,                1280.0 ,         30.0               ,         30.0               ,             64.51468799999999   ,             95.429481           ,                               24.714930769230776  ,                               58.50316766467067   ,     0.5883404999999999 ,     0.5796049999999999 ,    0.0                ,                   0.0 ,    0.0                ,    0.0                ,     0.589676           ,     0.5799409999999999 ,     0.5890275          ,     0.579056           ,        60259.876992       ,         97533.09504       ,  5000.0 ,     25000 ,      550 ,       19.1 , 20000.0 ,      2000 ,      550 ,       24.0
        16 ,         48.01525982411994  ,         53.01452295467256  ,     0.0                ,                    0.0 ,                 640.0 ,                 640.0 ,                  360.0 ,                  360.0 ,              0.0                ,               0.0               ,         29.0               ,         29.0               ,                 334051.72463150567 ,                381224.4337449963   ,              30.918121          ,              47.189854          ,0.012              ,0.01               ,                     53.03180000000012  ,                     83.48296666666671  ,                 8299.60117401842   ,                 28045.35591365977  ,                    114.00000000000016  ,                    106.59999999999992  ,       52.971924641495214 ,       50.01370090063449  ,            375713.17777409503  ,             359938.6026416863  ,                 640.0 ,                 640.0 ,         30.0               ,         30.0               ,              3.259619           ,             13.339783           ,                                1.723537037037031  ,                                2.490105263157884  ,     0.5823969999999999 ,     0.58461            ,    0.0                ,                   0.0 ,    0.0                ,    0.0                ,     0.582199           ,     0.601044           ,     0.577194           ,     0.583206           ,        60267.393396       ,         99485.58384       , 20000.0 ,      2000 ,      250 ,       13.2 ,  1000.0 ,     50000 ,      550 ,       54.1
        17 ,         39.16254535860174  ,         16.316523437365035 ,     0.0                ,                    0.0 ,                 640.0 ,                 480.0 ,                  360.0 ,                  270.0 ,              0.0                ,               0.55              ,         26.1               ,         17.3               ,                 246217.6553482911  ,                 58809.478745541695 ,              37.4901741         ,              91.9224042         ,0.0178             ,0.0649             ,                    151.09279193548392  ,                    480.0016621428574   ,                19488.401947464943  ,                 28814.306845727737 ,                    255.19539730785928  ,                    504.5527272727277   ,       14.704973690244207 ,       38.17147291037124  ,             60573.644909331575 ,             238010.40924368723 ,                 480.0 ,                 640.0 ,         22.5               ,         29.1               ,            406.4772938          ,             76.3968045          ,                             1635.9433318181816    ,                              298.99931772727325   ,     0.1771304          ,     0.1635058          ,    0.0                ,                   0.0 ,    0.010546875        ,    0.0                ,     0.1391111          ,     0.1808711999999999 ,     0.1684262          ,     0.1642319          ,        63970.4850813      ,        108633.224304      ,   500.0 ,      5000 ,      400 ,       58.2 ,   500.0 ,     12000 ,      100 ,       86.0
        18 ,          8.998929389532714 ,         29.997296576951484 ,     0.0                ,                    0.0 ,                 320.0 ,                 320.0 ,                  180.0 ,                  180.0 ,              1.96               ,               0.0               ,         11.0               ,         23.0               ,                  14558.26799017737 ,                117796.75897435898  ,             150.162353          ,              28.700556          ,0.076              ,0.025              ,                    743.0094444444449   ,                    140.64909375000002  ,                19239.34429867468   ,                 21585.06774744296  ,                    196.00000000000023  ,                    347.1153846153846   ,       28.98605397774527  ,       11.002686202686204 ,            122393.43874599117  ,              20388.97777777777 ,                 320.0 ,                 320.0 ,         23.0               ,         17.0               ,             21.650162           ,            290.364728           ,                               33.05884999999993   ,                             1735.6636842105263    ,     0.2839049999999999 ,     0.271606           ,    0.0                ,                   0.0 ,    0.0                ,    0.16015625         ,     0.2789459999999999 ,     0.290375           ,     0.291672           ,     0.286682           ,        63363.966183       ,        105852.04944       ,  5000.0 ,     25000 ,      550 ,       19.2 ,   500.0 ,     50000 ,      250 ,       77.0
        19 ,        158.3747008269813   ,        164.2598712057484   ,     0.0                ,                    0.0 ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,               0.0               ,         29.2               ,         29.0               ,                1331297.6796555766  ,               1394835.4173103238   ,              31.0535938         ,              27.8305284         ,0.0138             ,0.014              ,                     45.20791999999998  ,                     47.277693333333296 ,                26036.99471730549   ,                 20135.40721804154  ,                     53.92666666666669  ,                     57.499354838709706 ,      161.36040347794403  ,      160.55402182079547  ,           1385663.556456701    ,            1358639.7187291267  ,                1280.0 ,                1280.0 ,         30.0               ,         29.0               ,              1.4675382          ,              1.8472598          ,                                0.0011870712707826 ,                                0.7879216712642124 ,     0.2791568          ,     0.2696469999999999 ,    0.0                ,                   0.0 ,    0.0                ,    0.0                ,     0.2744052          ,     0.270377           ,     0.2720094          ,     0.2749204          ,        63791.7155442      ,        100411.998432      ,  1000.0 ,      2000 ,      250 ,       45.0 ,  5000.0 ,     50000 ,      250 ,       27.1
        20 ,        157.0394254958742   ,        163.01352517766043  ,     0.0                ,                    0.0 ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,               0.0               ,         29.0               ,         29.0               ,                1351267.2420782824  ,               1397443.5011515063   ,              43.07698           ,              34.938334999999995 ,0.017              ,0.014              ,                     68.89749999999992  ,                     60.75393333333328  ,                 1336.4974061133726 ,                 29049.426740147705 ,                     50.0               ,                     60.408163265306094 ,      164.19291464886416  ,      167.04424718824055  ,           1402544.2738934346   ,            1418351.697311333   ,                1280.0 ,                1280.0 ,         30.0               ,         29.0               ,              8.457775           ,             10.451275           ,                                0.0011675977653625 ,                                1.0441483516483514 ,     0.422958           ,     0.4209589999999999 ,    0.0                ,                   0.0 ,    0.0                ,    0.0                ,     0.4228059999999999 ,     0.420898           ,     0.4235379999999999 ,     0.4210049999999999 ,        62630.448237       ,        101935.21248       , 20000.0 ,     12000 ,      250 ,        5.2 , 20000.0 ,      5000 ,      400 ,       18.0
        21 ,        159.99855042817205  ,        161.91630684060326  ,     0.0                ,                    0.0 ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,               0.0               ,         30.0               ,         30.0               ,                1329363.9560875103  ,               1356570.8001120945   ,              27.741572          ,              27.068105          ,0.012              ,0.014              ,                     52.59356666666667  ,                     48.30876666666661  ,                 5789.598691055995  ,                 18241.65511187276  ,                     68.75              ,                     57.4418604651163   ,      154.90663433751934  ,      157.96158580362328  ,           1307627.8636990949   ,            1307490.035485221   ,                1280.0 ,                1280.0 ,         31.0               ,         30.0               ,             32.018083           ,              1.224788           ,                                0.0015789473684236 ,                                0.0009111111111114 ,     0.783829           ,     0.774231           ,    0.0                ,                   0.0 ,    0.0                ,    0.0                ,     0.7797999999999999 ,     0.7690279999999999 ,     0.774872           ,     0.776596           ,        60012.279306       ,         96424.69584       ,  5000.0 ,     12000 ,      550 ,       23.1 ,  5000.0 ,     50000 ,      750 ,       30.0
        22 ,         39.99328249288082  ,         63.4884330056742   ,     0.0                ,                    0.0 ,                 480.0 ,                1280.0 ,                  270.0 ,                  720.0 ,              0.0                ,               0.0               ,         28.0               ,         21.5               ,                 212474.6416999091  ,                465059.6419430054   ,              39.110464          ,              34.3029775         ,0.0139999999999999 ,0.036              ,                     67.21689677419359  ,                    169.49664112903224  ,                11949.914896239456  ,                 19822.08580703291  ,                     99.1117647058824   ,                    121.8               ,       62.02552616868911  ,       39.49740691370485  ,            459491.1308697455   ,             216957.3246920484  ,                1280.0 ,                 480.0 ,         28.5               ,         28.5               ,             82.3357965          ,             26.0799125          ,                               54.34249604743086   ,                                9.486952214452218  ,     0.8358535          ,     0.7777099999999999 ,    0.0                ,                   0.0 ,    0.0                ,    0.0                ,     0.7923049999999999 ,     0.7710115          ,     0.8107530000000001 ,     0.773354           ,        60479.885277       ,         83681.59056000001 ,  5000.0 ,      5000 ,      400 ,       26.2 ,  1000.0 ,     12000 ,      750 ,       65.1
        23 ,         44.67216480009017  ,         18.188483445668904 ,     0.0                ,                    0.0 ,                 640.0 ,                 320.0 ,                  360.0 ,                  180.0 ,              0.0                ,               0.776             ,         28.0               ,         22.6               ,                 301946.42645164207 ,                 45046.93031943119  ,              51.0966956         ,              97.0140483         ,0.0151             ,0.0516             ,                    151.9113066666667   ,                    368.4752156756756   ,                17057.710078788055  ,                 19874.076476886188 ,                    341.98272727272746  ,                    268.02641509433994  ,       29.599434326325543 ,       43.00639081812073  ,             85221.55011721516  ,             276472.2080480375  ,                 320.0 ,                 640.0 ,         30.0               ,         30.0               ,            370.1271663          ,             61.8222556          ,                             1479.9665289592765    ,                               65.86482025000014   ,     0.1437297          ,     0.1706296999999999 ,    0.0                ,                   0.0 ,    0.0                ,    0.0                ,     0.1244489999999999 ,     0.1773282          ,     0.1426447999999999 ,     0.1526979          ,        63406.752444000005 ,        105505.114224      ,  1000.0 ,     25000 ,      550 ,       35.1 ,   500.0 ,      2000 ,      100 ,       96.1
