call_number,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya
217,40.230007672146535,15.599319678425786,0.0,0.0,640.0,640.0,360.0,360.0,0.0,3.5836000000000006,29.0,9.4,258347.57257250164,83660.96783719362,51.6904784,66.43363219999999,0.015,0.07620000000000002,124.95566666666667,400.60562597402605,18389.445687906253,18346.13513678684,247.011612903226,478.76,16.608655515419176,40.204842391289255,91701.30246026852,255118.63573055403,640.0,640.0,10.8,30.0,93.4680342,14.9433606,293.3058663088852,40.86614545454547,0.7139312000000001,0.4713444,0.0,0.0,0.03828125,0.0,0.8146916,0.47744119999999995,0.6694945999999999,0.4908784,60930.9613332,103175.92387200001
218,88.2244631867041,63.6200925992669,0.0,0.0,960.0,1280.0,540.0,720.0,0.0,0.279,29.0,16.7,675163.2094272774,509464.69692033174,42.619034500000005,59.943455050000004,0.0229,0.03465000000000001,107.31336666666674,142.19639119034397,12431.410181623993,10583.40464454562,182.81510204081627,141.49032967032963,59.521549948891035,92.52198258763633,449832.2510989183,688875.0926961646,1280.0,960.0,16.3,30.0,64.9893605,87.12260755000001,103.359491208134,42.71900038631829,0.8324478,0.8112588999999999,0.0,0.0,0.0,0.0,1.0373030000000005,0.82113755,0.8575744999999999,0.8130104499999999,60960.5894772,103355.286768
219,156.91758839478098,157.60279793743055,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.22,29.0,29.0,1316094.5562226812,1334647.9408149938,31.2144626,33.314720200000004,0.012,0.012,46.18064666666669,51.67016,19788.754356998157,16820.009766577245,57.60000000000006,91.63999999999996,160.38508997733035,157.84443726864416,1376320.227496397,1326519.6829213428,1280.0,1280.0,30.0,30.0,0.7738218,0.7937788,0.00119484939759032,0.00078404271548444,0.1242858,0.12237859999999995,0.0,0.0,0.0,0.0,0.1226348,0.12416659999999996,0.1276488,0.12999899999999995,60564.345773400004,102623.634432
220,149.00214933218746,156.8324523796022,7.0,11.0,1280.0,1280.0,720.0,720.0,0.81,0.421,27.8,28.0,1251973.8151895052,1310408.1232784402,70.0671772,60.886236000000004,0.027,0.027,131.56919268817214,116.08497333333337,7668.1615763601485,25296.30362764554,226.7703703703704,219.64,158.1905262483222,149.76586129109117,1341359.3054794716,1258343.3847260159,1280.0,1280.0,30.0,30.0,37.6089536,37.9287602,15.843590064935066,18.10978434944485,0.14731739999999996,0.12887279999999998,0.0,0.0,0.00390625,0.00390625,0.14672879999999996,0.1279112,0.14998139999999996,0.1301207999999999,60239.3390928,102555.267552
221,84.10504824498535,60.717461610960505,0.0,0.0,960.0,960.0,540.0,540.0,0.0,0.316,28.1,22.5,619528.7000734184,455169.84986545105,48.05988550000001,68.7705493,0.023,0.0239,102.76955787878795,136.40887000000004,23343.08861101977,19474.45819364313,225.07574468085102,223.95276595744667,68.36155845810401,79.27690273960485,500052.0799743516,611821.8251955458,960.0,960.0,25.2,30.0,36.91500190000001,77.6995219,32.007405841836736,74.73251562724023,0.8884004,0.7997938,0.0,0.0,0.00390625,0.0,0.8759976,0.8009063,0.8605563,0.8255753,59915.7634131,103269.81158400001
222,146.14526483472028,168.0386249428109,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,30.0,1227542.7905143995,1430414.46649599,38.0991054,27.939785999999998,0.011,0.011,57.154140000000034,41.70119999999999,8695.02540735365,20614.744625304527,53.90285714285716,38.0090909090909,163.14123709508982,167.1039011535378,1383089.7262432398,1422215.6037090146,1280.0,1280.0,30.0,30.0,1.7950708,1.8652998,0.00116032719836356,0.0008385144927532201,0.5819124,0.5713258,0.0,0.0,0.0,0.0,0.572461,0.5996184,0.576462,0.5844834,60402.077265600004,102997.85702400001
223,156.90072291004722,160.3183652836386,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.3,1314679.3558558517,1366257.23471571,30.0729514,26.0964155,0.012,0.01,49.727303333333346,42.508134703522835,8183.207760778632,21483.535751712825,40.000000000000064,53.501969340078,160.91373941831327,165.44083163105458,1363390.223355853,1404546.3277095617,1280.0,1280.0,30.0,30.0,1.4413629,0.9527536,0.00117098025610388,0.0008080072168546,0.4232957999999999,0.4199064999999999,0.0,0.0,0.0,0.0,0.4238343,0.41970219999999997,0.42401549999999993,0.41963785,60488.7480099,102755.059224
225,160.81187765454942,161.67268396203983,0.0,0.0,1280.0,1280.0,720.0,720.0,0.492,0.0,30.0,30.0,1353318.4062058555,1369323.6836950714,35.0430039,39.9849136,0.0147,0.012,73.61846387096773,60.675547499999986,16723.950877859854,10544.552095797559,56.93999999999998,56.80237307916748,166.1301653639195,170.14276471696488,1412375.3725405396,1449634.3672706373,1280.0,1280.0,29.3,29.0,4.0466227,9.8882653,0.00127084011722638,1.6403559551980382,0.2780033999999999,0.27799974999999993,0.0,0.0,0.0,0.0,0.27439249999999993,0.27473594999999995,0.2764264,0.2853418,60297.9990165,102739.331784
227,138.03275803840353,161.97503241646587,0.0,0.0,1280.0,1280.0,720.0,720.0,0.186,0.774,29.0,30.0,1143381.6222212615,1377420.22640823,33.0423248,42.803233999999996,0.0148,0.0114,57.40744848484848,149.2126203467742,1094.511164152122,27516.44910252195,36.00000000000004,39.70000000000003,154.24239385040542,151.64190878107905,1324739.955930956,1270852.7206343415,1280.0,1280.0,30.0,30.0,1.0740902,5.6503736,0.00103352272727268,0.8184324865497181,0.7719088000000001,0.7706514,0.0,0.0,0.0,0.0,0.7727021999999999,0.7717834,0.7723666,0.7694855999999999,60494.327233200005,103009.348128
228,30.291733423779394,9.771065552779053,0.0,0.0,480.0,960.0,270.0,540.0,0.0,2.7547999999999995,16.8,8.0,197735.2081385051,65884.58372146504,58.3260394,51.64690365,0.0207,0.10764999999999994,200.48067096774187,140.2953665462628,8953.059519907914,24763.20739029507,185.58333333333323,348.91208791208805,9.304322746970685,29.719296656441536,56767.00743880072,187251.43688973613,960.0,480.0,6.500000000000002,22.0,75.46620109999999,45.1424944,319.303665096525,145.02482185022455,0.4787123,0.27678969999999997,0.0,0.0,0.021484374999999986,0.0,0.7069274999999999,0.2840683999999999,0.6842848,0.3238258499999999,60647.2446888,102881.833224
