call_number,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya
1,161.07278695534256,155.58737541465,0.0,7.800000000000004,1280.0,1280.0,720.0,720.0,0.0,0.8501000000000006,29.0,25.1,1383360.2327463226,1310025.7400749007,22.871175100000002,25.164217000000008,0.009,0.012,34.22969999999999,125.88024275362339,11549.250700799828,12711.434840528136,40.0,40.0,159.86923269856297,159.67159904171797,1348928.690394811,1353345.032532761,1280.0,1280.0,30.0,29.0,1.418351,0.419694,0.00107560331825082,0.0008508571428572702,0.0742383,0.27177289999999993,0.0,0.0,0.00390625,0.0,0.0728298,0.27224589999999993,0.07281979999999999,0.27201519999999996,62718.587952300004,97833.73800000001
2,79.79643471491825,101.16368958451498,0.0,0.0,1280.0,1280.0,720.0,720.0,0.213,0.294,30.0,25.3,593433.4659378413,810946.5918312151,76.41307885,48.9169182,0.02195,0.026700000000000005,172.4550926366121,170.55600603448283,14626.656648602942,24209.106868166222,129.0396825396825,50.0,104.60161564078574,81.96327285787842,822398.7718185509,618294.3175136845,1280.0,1280.0,30.0,29.1,84.1296206,63.427579,206.75650414024372,45.073264167974884,0.07773054999999991,0.5993682,0.0,0.0,0.0,0.0,0.07699735,0.638351,0.0761461,0.5980728,62409.12345675,98990.744448
3,88.76276561828597,37.9885662920371,0.0,0.0,1280.0,960.0,720.0,540.0,0.232,0.0,29.0,25.400000000000002,681296.678518812,282657.9828982197,82.24834845000001,22.438592800000002,0.02255,0.0591,146.68119833333327,164.21799000000044,23693.4645365216,24829.712574711608,125.4648728131093,69.00196078431372,43.11309056297282,87.39668305874883,320150.00715150824,678818.3941311539,960.0,1280.0,28.6,30.0,68.52300165,40.71758070000001,231.73204682749554,35.847569590053794,0.07112294999999999,0.8641038,0.0,0.0,0.0,0.0,0.07506135,0.8153094999999999,0.07091709999999998,0.8186998999999999,63142.55697330001,96024.274944
4,159.91579915272018,134.2920709106866,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,29.0,1360366.3903220918,1105571.144045361,26.2322768,54.557634400000005,0.011,0.026,38.338173333333295,103.69346666666672,16644.56755271755,20267.191580326118,59.62755102040831,192.35999999999996,123.48678486019287,158.9762123007494,1031956.588905462,1345742.832262821,1280.0,1280.0,30.0,30.0,37.0315666,0.8795827999999999,8.680541489361698,0.00080116657456856,0.07174099999999999,0.289636,0.0,0.0,0.0,0.0,0.07156999999999991,0.28263839999999996,0.07296759999999991,0.2877438,63017.2288746,102183.393504
5,47.22878063573733,161.2197532237718,0.0,0.0,640.0,1280.0,360.0,720.0,0.0,0.0,29.0,30.0,328793.0456457838,1365601.862087456,45.9086488,25.3606605,0.016,0.012900000000000002,80.49480967741928,49.718500000000006,13849.984018658106,24881.648040067867,212.37999999999997,56.78000000000004,151.24820863002685,48.96163937567088,1280335.525481709,337450.4109483378,1280.0,640.0,29.0,29.1,4.0915482999999995,25.1393317,0.0012923933095561307,37.29920106907901,0.0708157,0.4372423,0.0,0.0,0.0,0.0,0.0708206,0.4425566,0.0703127,0.42942059999999993,63170.393995800005,101452.032432
6,156.61678820088113,159.15077040571956,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1318802.7053267087,1356905.8413593723,28.7532587,28.4198158,0.011,0.014,46.08615666666668,45.385876666666654,3080.011022812373,26435.853688408803,38.242608695652144,37.54000000000002,165.96341391631185,151.99915547353896,1407770.2033816727,1286001.5601999457,1280.0,1280.0,30.0,30.0,0.6003937,1.3761604,0.00127811827956958,0.0009476899035195399,0.07214199999999993,0.269196,0.0,0.0,0.0,0.0,0.0815904,0.28860810000000003,0.0728046,0.2817701999999999,62700.1275159,103693.724064
7,11.499832788999214,159.63613467342788,0.0,0.0,320.0,1280.0,180.0,720.0,3.082,0.0,10.0,29.0,60699.8090446487,1338534.24236279,60.1118306,22.8799986,0.062199999999999984,0.018399999999999996,260.8095502185314,48.002162402669626,20086.740109663064,25364.623980794848,294.42013888888886,40.000000000000014,165.19162431313092,9.001151566379566,1406809.6208328782,59028.8077382837,1280.0,320.0,30.0,6.8,10.5343592,42.8589128,2.666273436189839,150.19541442125237,0.072356,0.7852078,0.0,0.0,0.0,0.00390625,0.07138679999999989,0.782782,0.0722717,0.7857788,63574.346115,96486.208896
8,167.6992945871526,153.60567942950837,1.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1424202.7595106477,1294982.6854349223,24.1079374,58.4835634,0.009,0.0258,35.172410710382515,105.46012666666654,22424.42761787419,4766.523290160673,39.121212121212174,63.83999999999952,155.7774862604703,159.61291947930934,1312293.6485862979,1357251.4482285588,1280.0,1280.0,30.0,30.0,48.7446018,1.0537428,19.0809049036912,0.0007994338007766,0.0723802,0.2786713999999999,0.0,0.0,0.0,0.0,0.0723039,0.2807034,0.0731689,0.278821,62866.523475,103045.56940800001
9,162.82336847149247,129.0305787075127,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,27.0,1384259.8940940553,1035861.4868120888,26.543454,51.447893,0.011,0.027,39.56866666666674,170.8502647058824,29683.588099280914,7641.816485175066,95.60000000000008,106.3414634146342,122.0336630220691,166.11877780309473,998187.3502760576,1421776.594888704,1280.0,1280.0,31.0,30.0,132.568922,3.825926,42.52309139784946,0.0008225806451616,0.072403,0.778976,0.0,0.0,0.0,0.0,0.072235,0.779816,0.073044,0.77887,63046.486755,96023.20896
10,33.80732365400828,164.74426549822692,0.0,0.0,480.0,1280.0,270.0,720.0,2.638,0.0,28.0,29.0,150112.70467446718,1394046.3665622878,34.8788978,25.225893199999998,0.017399999999999995,0.016399999999999998,74.35751350087665,48.95771333333336,22676.241029937177,23203.954556357996,380.21345530779496,63.853061224489764,165.92637611197569,34.807447217321744,1399589.4751653369,146690.83345223826,1280.0,480.0,29.0,28.0,10.473153400000001,46.7313772,1.1296771881016723,65.29808546099285,0.0713897,0.4822937999999999,0.0,0.0,0.0,0.0,0.07138379999999998,0.5145783999999998,0.0707485,0.45570099999999997,62480.9910438,102029.097504
