identifier,avg_up_ellen,avg_down_ellen,avg_rtt_ellen,avg_ellen_jitter,avg_pl_ellen,avg_up_aadya,avg_down_aadya,avg_rtt_aadya,avg_jitter_aadya,avg_pl_aadya,sd_up_ellen,sd_down_ellen,sd_rtt_ellen,sd_jitter_ellen,sd_pl_ellen,sd_up_aadya,sd_down_aadya,sd_rtt_aadya,sd_jitter_aadya,sd_pl_aadya,avg_down_google,avg_up_google,avg_rtt_google,sd_down_google,sd_up_google,sd_rtt_google,distance,telstra_distance,line_of_sight,telstra_line_of_sight,urban,e_audio_mos,e_video_mos,e_mos,a_audio_mos,a_video_mos,a_mos,agg_audio_mos,agg_video_mos,agg_mos,score_ellen,score_aadya,score_min,serviceable_ellen,serviceable_aadya,serviceable_agg
euroa1,3.92,54.43,35.67,15.67,0.21,13.88,49.1,26.33,7.33,0.0,0.72,18.66,5.03,3.79,0.36,4.15,13.13,1.15,4.04,0.0,6.25,0.63,49.4,0.85,0.04,4.99,0.74,0.74,,,0.0,3.905,3.418,3.6233333333333335,3.6105,3.535,3.5666666666666664,3.6105,3.375666666666666,3.543333333333333,3.9666666666666663,4.0,3.6,1.0,1.0,1.0
euroa2,15.0,57.5,29.33,12.73,0.0,16.9,60.5,26.67,7.33,0.18,1.87,17.1,1.53,11.7,0.0,2.76,14.57,2.08,5.51,0.32,6.25,0.63,49.4,0.85,0.04,4.99,0.75,0.75,,,0.0,3.236333333333333,3.515833333333333,3.3633333333333333,3.4450000000000003,3.2726666666666664,3.35,3.236333333333333,3.2423333333333333,3.276666666666667,3.0666666666666664,3.3333333333333335,3.0,0.6666666666666666,1.0,0.6666666666666666
euroa3,25.37,27.67,30.33,10.33,5.67,4.56,49.17,35.0,15.0,0.12,30.13,27.11,0.58,2.52,9.81,1.12,10.15,3.61,6.0,0.21,6.25,0.63,49.4,0.85,0.04,4.99,1.45,1.45,,,0.0,3.2375000000000003,3.28075,3.245,1.91725,2.16975,1.86,1.91725,2.16975,1.86,2.033333333333333,2.0,1.7333333333333334,0.0,0.0,0.0
seymore1,24.57,65.5,24.0,8.67,0.3,44.23,54.3,26.67,13.0,0.0,3.69,6.32,1.0,4.73,0.52,4.97,24.06,1.15,6.24,0.0,6.44,0.63,49.19,0.85,0.04,11.3,0.09,0.09,,,0.0,3.734666666666667,3.532166666666667,3.63,3.256333333333333,3.6166666666666663,3.383333333333333,3.1621666666666663,3.532166666666667,3.333333333333333,3.733333333333333,4.0,3.733333333333333,1.0,1.0,1.0
seymore2,20.12,68.9,28.5,15.75,0.0,32.7,67.03,24.5,22.75,1.15,12.21,7.22,10.15,5.25,0.0,2.42,7.6,2.52,24.94,0.87,6.44,0.63,49.19,0.85,0.04,11.3,1.06,1.06,,,0.0,3.47,3.50225,3.475,3.585,2.755,3.03,3.35,2.647,3.03,3.675,2.625,2.625,1.0,0.75,0.75
seymore3,33.5,59.03,26.67,7.33,0.0,18.5,64.63,24.33,8.33,0.0,3.2,9.32,4.16,0.58,0.0,12.6,18.58,1.53,3.06,0.0,6.44,0.63,49.19,0.85,0.04,11.3,0.47,0.47,,,0.0,3.701,3.64575,3.675,2.18,1.723,1.915,2.18,1.723,1.915,3.8000000000000003,2.6666666666666665,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666
dandenong,3.67,60.2,27.67,10.67,0.0,2.2,22.07,32.0,32.67,0.37,0.71,22.04,3.51,3.21,0.0,1.29,2.1,9.64,38.48,0.64,6.25,1.13,69.79,0.85,0.04,44.46,0.28,1.29,,,1.0,1.2705,1.6621666666666666,1.43,1.665,2.5535,1.9833333333333332,1.2705,1.6621666666666666,1.43,2.5,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0
mordialloc,1.3,5.45,37.33,39.33,0.0,1.63,2.58,31.0,33.33,0.67,0.38,3.1,6.43,12.66,0.0,0.4,2.5,3.46,40.61,1.15,0.11,0.31,2.74,0.85,0.04,2.74,0.89,1.47,,,1.0,2.25,2.003,2.12,1.0,1.027,1.01,1.0,1.027,1.01,2.766666666666667,5.833333333333333,1.7,0.0,0.0,0.0
brighton,4.09,26.03,22.67,15.67,0.0,9.43,33.5,25.67,9.67,0.0,1.16,2.53,2.08,5.51,0.0,3.87,4.08,4.04,4.16,0.0,3.5,0.88,13.49,0.85,0.04,13.49,0.17,0.17,,,1.0,3.625,3.540833333333333,3.5733333333333337,3.9983333333333335,3.5126666666666666,3.74,3.625,3.5126666666666666,3.5733333333333337,3.5,2.6666666666666665,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666
toorak,9.1,10.53,31.67,15.33,0.0,6.68,11.01,30.67,57.0,0.12,3.15,2.98,4.04,0.58,0.0,0.65,3.1,6.11,65.94,0.21,1.99,1.54,10.65,0.85,0.04,10.65,0.06,0.06,,,1.0,2.1325,3.011833333333333,2.483333333333333,2.022,2.762166666666667,2.293333333333333,1.7175,2.502,2.1266666666666665,2.9,2.8000000000000003,2.6999999999999997,0.6666666666666666,0.3333333333333333,0.0
cbd,13.66,17.84,30.67,29.67,0.0,18.13,25.33,21.67,8.33,0.4,9.08,11.88,10.02,24.79,0.0,3.2,8.74,4.04,1.53,0.69,3.19,2.3,23.01,0.85,0.04,23.01,0.06,0.03,,,1.0,2.283333333333333,2.026,2.13,2.751333333333333,1.0,1.38,1.471666666666667,1.0,1.2266666666666668,2.533333333333333,2.766666666666667,2.433333333333333,0.0,0.6666666666666666,0.0
brunswickwest,3.48,26.37,27.67,20.0,0.0,2.79,32.47,22.0,13.0,0.0,2.33,0.74,6.11,8.54,0.0,0.64,8.88,4.0,3.61,0.0,2.51,0.28,18.89,0.85,0.04,18.89,0.15,0.64,,,1.0,3.0,2.528,2.74,2.3115,2.1966666666666668,2.106666666666667,2.3115,2.161,2.106666666666667,1.8333333333333333,2.5,1.8333333333333333,0.0,0.0,0.0
northcote,6.81,48.0,21.33,13.67,0.12,8.01,74.0,22.5,5.5,-1.0,0.59,6.12,1.53,5.51,0.21,0.23,13.5,0.5,0.5,-1.0,3.69,1.22,51.07,0.85,0.04,51.07,0.31,0.38,,,1.0,3.58,1.8433333333333333,2.4233333333333333,3.3250000000000006,2.3346666666666667,2.61,3.3250000000000006,1.5253333333333334,2.1,2.966666666666667,2.966666666666667,2.9333333333333336,0.0,0.6666666666666666,0.0
