Ellen_IT01V_packetsRecieved ,Aadya_IT01V_packetsRecieved ,Ellen_IT01V_packetsLost ,Aadya_IT01V_packetsLost ,Ellen_IT01V_frameWidth ,Aadya_IT01V_frameWidth ,Ellen_IT01V_totalFreezesDuration ,Aadya_IT01V_totalFreezesDuration ,Ellen_IT01V_framesPerSecond ,Aadya_IT01V_framesPerSecond ,Ellen_IT01V_bytesReceived_in_bits/s ,Aadya_IT01V_bytesReceived_in_bits/s ,Ellen_IT01V_totalProcessingDelay ,Aadya_IT01V_totalProcessingDelay ,Ellen_IT01V_jitter ,Aadya_IT01V_jitter ,Ellen_IT01A_bytesReceived_in_bits/s ,Aadya_IT01A_bytesReceived_in_bits/s ,Ellen_OT01V_packetsSent/s ,Aadya_OT01V_packetsSent/s ,Ellen_OT01V_bytesSent_in_bits/s ,Aadya_OT01V_bytesSent_in_bits/s ,Ellen_OT01V_frameWidth ,Aadya_OT01V_frameWidth ,Ellen_OT01V_framesPerSecond ,Aadya_OT01V_framesPerSecond ,Ellen_OT01V_totalPacketSendDelay ,Aadya_OT01V_totalPacketSendDelay ,Ellen_OT01V_totalPacketSendDelay/packetsSent_in_ms ,Aadya_OT01V_totalPacketSendDelay/packetsSent_in_ms ,Ellen_OT01V_qualityLimitationReason ,Aadya_OT01V_qualityLimitationReason ,Ellen_OT01V_qualityLimitationResolutionChanges ,Aadya_OT01V_qualityLimitationResolutionChanges ,Ellen_RIV_roundTripTime ,Aadya_RIV_roundTripTime ,Ellen_RIV_fractionLost ,Aadya_RIV_fractionLost ,Ellen_RIA_fractionLost ,Aadya_RIA_fractionLost ,Ellen_ROA_roundTripTime ,Aadya_ROA_roundTripTime ,Ellen_SV2_width ,Aadya_SV2_width ,Ellen_SV2_framesPerSecond ,Aadya_SV2_framesPerSecond ,Ellen_AP_totalPlayoutDelay ,Aadya_AP_totalPlayoutDelay
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                    0               ,0                                   ,0                         ,0                         ,0                               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,0                                ,0                                                  ,0                                                  ,none                                ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              25433.779329 ,16677.27648
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                    0               ,0                                   ,0                         ,0                         ,0                               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,0                                ,0                                                  ,0                                                  ,none                                ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              27880.299153 ,18728.67696
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                    0               ,0                                   ,0                         ,0                         ,0                               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,0                                ,0                                                  ,0                                                  ,none                                ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              30339.340731 ,20780.16912
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                 2633.627845809522  ,0                                   ,17.510823442882458        ,0                         ,65580.53533980093               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,9e-06                            ,0                                ,0.00025714285714285715                             ,0                                                  ,none                                ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              32737.192236 ,22831.21776
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                16677.719332853532  ,0                                   ,32.479978326806076        ,0                         ,148792.27979102143              ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,2.4e-05                          ,0                                ,0.0002307692307692308                              ,0                                                  ,none                                ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              35196.355971 ,24882.5664
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                22833.114486470233  ,0                                   ,49.01097817754693         ,0                         ,306852.7332493991               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0.000108                         ,0                                ,0.0008571428571428571                              ,0                                                  ,none                                ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              37643.238738 ,26933.95824
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                 2393.027546551547  ,0                                   ,-6.502792246063986        ,0                         ,-475736.2772854307              ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,4.114679                         ,0                                ,-316.50546153846153                                ,0                                                  ,bandwidth                           ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              40077.901395 ,28985.36688
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                 1091.696512667234  ,0                                   ,39.988883247884026        ,0                         ,233890.97922854888              ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,4.396838                         ,0                                ,3.5269875000000006                                 ,0                                                  ,bandwidth                           ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              42524.56278  ,31036.69632
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                22122.982015722027  ,0                                   ,43.4979984489201          ,0                         ,293210.50798129075              ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,4.3968739999999995               ,0                                ,0.0004137931034448613                              ,0                                                  ,bandwidth                           ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              44971.243569 ,33088.1352
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                 ,-1                 ,                15806.688524340041  ,0                                   ,43.99634963758614         ,0                         ,300327.08196246077              ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,4.396917                         ,0                                ,0.0004886363636441066                              ,0                                                  ,bandwidth                           ,none                                ,                                             0 ,0                                              ,-1                      ,-1                      ,-1                     ,-1                     ,-1                     ,-1                     ,-1                      ,-1                      ,-1              ,-1              ,-1                        ,-1                        ,              47430.143586 ,35139.45552
