call_number,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits/s_ellen,IT01V_bytesReceived_in_bits/s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay/emissions_ellen,IT01V_jitterBufferDelay/emissions_aadya,IT01A_bytesReceived_in_bits/s_ellen,IT01A_bytesReceived_in_bits/s_aadya,IT01A_jitterBufferDelay/emissions_ellen,IT01A_jitterBufferDelay/emissions_aadya,OT01V_packetsSent/s_ellen,OT01V_packetsSent/s_aadya,OT01V_bytesSent_in_bits/s_ellen,OT01V_bytesSent_in_bits/s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay/packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay/packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya
196,160.77852407574898,162.25497015806894,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.3,30.0,1357872.002429659,1362694.9741586312,42.058790200000004,39.188887199999996,0.019,0.0147,69.18516666666667,67.19368000000014,0.0,0.0,71.78000000000002,58.20000000000001,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,29.0,12.7844629,9.263784,1.3567048719236556,2.486000000000006,0.572815,0.5789826,0.0,0.0,0.0,0.0,0.573143,0.5754212,0.5848465,0.5774476,57784.652830800005,94494.664752
197,17.405816129895406,32.403291012782425,0.0,0.0,960.0,320.0,540.0,180.0,4.256,0.309,10.500000000000004,29.2,127037.00031173027,122984.0188702689,49.041823400000006,19.160955599999998,0.09,0.017000000000000008,246.4283393939395,75.82807741935487,0.0,0.0,79.69696969696967,79.05185185185186,0.0,0.0,0.0,0.0,320.0,960.0,29.0,11.0,55.009112,65.30144159999999,11.48520754716981,64.07971379310365,0.7710553,0.7707124,0.0,0.0,0.0,0.0,0.7715426,0.7766236,0.7715179999999999,0.7706877999999999,56110.5828738,90985.27612800001
198,162.2792109987273,156.0309186115184,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.321,29.0,29.0,1368914.7355400359,1318235.2903526928,31.625157400000003,32.3074116,0.014600000000000002,0.014,50.133539999999996,50.85184000000004,0.0,0.0,43.29333333333334,69.30666666666667,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,30.0,4.3913796000000005,1.3548862,0.0011165164211113501,0.433444739530133,0.2741625,0.27252200000000004,0.0,0.0,0.0,0.0,0.27684,0.2716825,0.2747115,0.2702635,59831.9935668,98714.53660800001
199,153.87232718029495,160.56313358584558,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.43,29.0,29.3,1292877.8872801724,1343185.552059488,29.569741600000004,30.233883800000005,0.014,0.014,47.06024817204301,67.70062666666665,0.0,0.0,47.920000000000016,67.37999999999998,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,30.0,5.6978434,5.713456399999999,2.025810230753531,0.0010425552684470798,0.4199445,0.42153299999999994,0.0,0.0,0.0,0.0,0.4203874999999999,0.4211454,0.422134,0.43189419999999995,58702.03518690001,96426.489168
200,83.9716610077437,82.66064077066345,0.0,0.0,960.0,960.0,540.0,540.0,0.0,0.0,28.3,29.0,634821.5049507942,654510.0017710516,54.566679400000005,53.343124800000005,0.022600000000000002,0.023,122.95880000000008,123.84220666666671,0.0,0.0,263.4769230769234,219.16235294117635,0.0,0.0,0.0,0.0,960.0,960.0,29.0,30.0,59.38313920000001,52.0765897,29.824070608430304,32.62940708333338,0.4646685,0.4585692,0.0,0.0,0.0,0.0,0.4535064999999999,0.4545975,0.5391539999999999,0.5302610000000001,58637.8634247,96157.38086399999
201,58.027618535729836,67.31109172509065,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.631,23.2,20.0,431438.146063375,510363.28380965866,61.401905899999996,65.7271432,0.0264,0.0371,170.7542385714285,198.24437181818186,0.0,0.0,263.66666666666686,281.9094339622641,0.0,0.0,0.0,0.0,1280.0,1280.0,16.5,22.5,148.9003672,170.8863417,115.94866758263632,71.6481826997424,0.6040376,0.6169614,0.0,0.0,0.0,0.0,0.6808013999999999,0.5930508,0.637891,0.6366577999999999,57586.1509692,94048.75248
202,158.68881834910854,37.80162066491188,0.0,0.0,1280.0,480.0,720.0,270.0,0.311,0.0,29.0,28.0,1328522.48699784,168221.12305622178,24.1399498,43.7471362,0.011600000000000001,0.01735,36.93723333333331,102.11898842958169,0.0,0.0,93.24283559577682,604.2636138613863,0.0,0.0,0.0,0.0,480.0,1280.0,30.0,29.0,34.00330700000001,0.8127607,135.11784883720932,0.6940916942327363,0.36206049999999995,0.7700317,0.0,0.0,0.0,0.0,0.47745499999999996,0.7695565499999999,0.2954069999999999,0.7690965,58945.4367138,91925.456856
203,36.38867340618403,150.966940127162,0.0,0.0,480.0,1280.0,270.0,720.0,0.0,1.116,29.0,30.0,177268.72205441282,1267552.1667567831,41.675971000000004,63.2174735,0.018600000000000002,0.018750000000000003,86.03609333333341,134.90127043992882,0.0,0.0,205.41854636591486,73.82381959126145,0.0,0.0,0.0,0.0,1280.0,480.0,30.0,29.0,2.5433324,13.917600700000001,1.2781829430051848,22.44832802613051,0.42218799999999995,0.14689649999999999,0.001953125,0.0068359375,0.0,0.0068359375,0.4230345,0.12691124999999998,0.4229584999999999,0.14742905,58334.35545000001,100788.121656
204,160.31812059498614,166.26594459096194,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,30.0,1359231.405837089,1400275.1789736203,67.1070986,23.852802,0.025,0.013,133.59310666666687,39.3846180645161,0.0,0.0,64.37411764705882,40.0,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,30.0,5.814744999999999,33.9838535,0.00114758513931953,8.69311346134547,0.12982149999999995,0.42061479999999996,0.0,0.0,0.0,0.0,0.12959249999999994,0.420593,0.1312485,0.42276299999999994,59743.6663824,96998.36716800001
205,71.09289023147157,84.76185867131998,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,18.8,29.0,567866.9601611188,639822.9534439027,44.3650486,104.8618775,0.031800000000000016,0.023,142.27932047619046,249.72775806451614,0.0,0.0,286.6995073891628,192.21052631578968,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,23.0,75.5730889,112.6563834,40.76548330239376,21.480157949912613,0.34028600000000003,0.16492449999999995,0.0,0.0,0.0,0.0,0.3779755,0.198822,0.3557435,0.14698799999999995,59324.457515400005,101227.182912
206,73.34078855042105,62.98703826676751,0.0,0.0,960.0,1280.0,540.0,720.0,0.0,0.872,28.0,27.0,569037.534286253,483531.47891763295,36.4846296,92.1712648,0.025,0.024,147.0176613043478,270.5962129032258,0.0,0.0,200.2536394176933,270.96,0.0,0.0,0.0,0.0,1280.0,960.0,30.0,29.5,37.164068400000005,89.31193320000001,29.073486293776785,84.7800056310681,0.894058,0.15178699999999995,0.0,0.0,0.0,0.0,0.866949,0.1460495,0.8874906,0.152594,55210.093155,100915.051872
207,79.36751327786064,160.59310036703357,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,28.4,30.0,583771.0835932648,1348633.8655204508,18.4377208,39.7292015,0.020600000000000004,0.0115,62.160973419354846,61.173133333333254,0.0,0.0,40.63392857142857,38.79999999999994,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,29.0,3.9677317000000003,34.8488202,1.7629161616161626,0.00092254237289438,0.7723889999999999,0.1219025,0.0,0.0,0.0,0.0,0.7721892,0.12210049999999995,0.7720336,0.1230776,55240.265493,101335.01606400001
208,38.29770947859461,41.49006279430442,0.0,0.0,640.0,640.0,360.0,360.0,0.0,0.0,29.0,28.4,213756.34905768157,253289.42557347007,50.4708491,67.206317,0.016,0.015,123.48037516129034,158.7258500000001,0.0,0.0,136.36363636363637,197.94000000000014,0.0,0.0,0.0,0.0,640.0,640.0,29.0,29.0,34.624232,15.46091,60.20232653061224,28.190893505079835,0.622958,0.17688749999999998,0.0,0.0,0.0,0.0,0.6242984,0.20145449999999998,0.616034,0.17097799999999994,56378.307358800004,100819.635744
209,159.16564003015515,160.44741009733002,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,29.0,1333769.1920983584,1375566.8370481306,27.4088865,28.3742187,0.017900000000000003,0.0147,49.44349333333332,48.40791333333334,0.0,0.0,59.39495798319329,36.59999999999999,0.0,0.0,0.0,0.0,1280.0,320.0,30.0,29.0,2.8860952,9.5849559,0.0011207865168533402,0.3521990691489365,0.4221115,0.2693635,0.0,0.0,0.0,0.0,0.4228894999999999,0.26982149999999994,0.42251549999999993,0.2698825,52991.9014338,99841.04025600001
