ID             ,IT01V_packetsRecieved_ellen ,IT01V_packetsRecieved_aadya ,IT01V_packetsLost_ellen ,IT01V_packetsLost_aadya ,IT01V_frameWidth_ellen ,IT01V_frameWidth_aadya ,IT01V_frameHeight_ellen ,IT01V_frameHeight_aadya ,IT01V_totalFreezesDuration_ellen ,IT01V_totalFreezesDuration_aadya ,IT01V_framesPerSecond_ellen ,IT01V_framesPerSecond_aadya ,IT01V_bytesReceived_in_bits_s_ellen ,IT01V_bytesReceived_in_bits_s_aadya ,IT01V_totalProcessingDelay_ellen ,IT01V_totalProcessingDelay_aadya ,IT01V_jitter_ellen   ,IT01V_jitter_aadya   ,IT01V_jitterBufferDelay_emissions_ellen ,IT01V_jitterBufferDelay_emissions_aadya ,IT01A_bytesReceived_in_bits_s_ellen ,IT01A_bytesReceived_in_bits_s_aadya ,IT01A_jitterBufferDelay_emissions_ellen ,IT01A_jitterBufferDelay_emissions_aadya ,OT01V_packetsSent_s_ellen ,OT01V_packetsSent_s_aadya ,OT01V_bytesSent_in_bits_s_ellen ,OT01V_bytesSent_in_bits_s_aadya ,OT01V_frameWidth_ellen ,OT01V_frameWidth_aadya ,OT01V_framesPerSecond_ellen ,OT01V_framesPerSecond_aadya ,OT01V_totalPacketSendDelay_ellen ,OT01V_totalPacketSendDelay_aadya ,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen ,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya ,RIV_roundTripTime_ellen ,RIV_roundTripTime_aadya ,RIV_fractionLost_ellen ,RIV_fractionLost_aadya ,RIA_fractionLost_ellen ,RIA_fractionLost_aadya ,RIA_roundTripTime_ellen ,RIA_roundTripTime_aadya ,ROA_roundTripTime_ellen ,ROA_roundTripTime_aadya ,AP_totalPlayoutDelay_ellen ,AP_totalPlayoutDelay_aadya
myrtleford32   ,         21.674936430610597 ,        24.19323272134066   ,     0.0                ,     0.0                ,                 320.0 ,                 480.0 ,                  180.0 ,                  270.0 ,              1.922              ,              0.559              ,         11.100000000000001 ,        13.6                ,                 127029.67426587862 ,                112908.01276601735  ,              71.6861804         ,              62.356072200000014 ,0.04465000000000001  ,0.03420000000000001  ,                    264.2091463574879   ,                    211.17251870967746  ,                                0.0 ,                    0.0             ,                     461.19999999999953 ,                     371.9166666666653  ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                 480.0 ,                 320.0 ,         19.8               ,                        8.0 ,             25.325225850000002  ,            62.189450699999995   ,                            38.355076567528435     ,                           189.26472916666654      ,   0.22362490000000007  ,    0.19056209999999998 ,   0.0                 , 0.0                   , 0.0011718750000000167 ,    0.0                ,   0.2348724            ,   0.08839139999999998  ,   0.26507995           ,   0.198959             ,        56706.37063245     ,         97170.865536
euroa11        ,        153.60122834633108  ,       161.84472555534407   ,     0.0                ,     0.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,              0.0                ,         29.8               ,        29.0                ,                1289690.0346327333  ,               1361147.0755043854   ,              36.9372502         ,              82.9609927         ,0.018199999999999997 ,0.0221               ,                     51.14629999999999  ,                    123.13561333333342  ,                                0.0 ,                    0.0             ,                      86.40000000000009 ,                     161.6066666666667  ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         30.0               ,                       30.0 ,              9.951743           ,             2.6198643           ,                             5.050590361445782     ,                             0.42206871789603506   ,   0.075089             ,    0.064804            ,   0.0                 , 0.0                   , 0.0                   ,    0.0                ,   0.094238             ,   0.0580996            ,   0.09314              ,   0.0568332999999999   ,        57030.6613275      ,         94168.16832
euroa12        ,        101.57148331023572  ,       160.14791245260014   ,     0.0                ,     1.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,              0.0                ,         27.8               ,        29.0                ,                 820297.1068807922  ,               1352204.7102071668   ,              81.0443257         ,              53.82224780000001  ,0.024                ,0.025100000000000004 ,                    127.85992999999999  ,                     81.01811333333335  ,                                0.0 ,                    0.0             ,                      75.99999999999984 ,                     182.14285714285722 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         31.0               ,                       26.3 ,             10.731695           ,            12.011531            ,                             3.2677091836734684    ,                             5.663071513148835     ,   0.083893             ,    0.066925            ,   0.0                 , 0.0                   , 0.0                   ,    0.0                ,   0.094788             ,   0.06657980000000001  ,   0.08728              ,   0.064453             ,        56931.040088999995 ,         97893.186528
euroa13        ,        156.2302897450532   ,       158.63067177065258   ,     2.0                ,     4.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.455              ,              0.0                ,         29.0               ,        29.0                ,                1301818.5691227033  ,               1328978.0478102702   ,              45.187084600000006 ,              59.697924300000004 ,0.016300000000000005 ,0.023100000000000002 ,                     64.67786935483875  ,                     80.22140967741922  ,                                0.0 ,                    0.0             ,                     227.21153846153868 ,                     154.38833333333326 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         30.0               ,                       30.0 ,              1.8586453          ,             0.29258599999999996 ,                             0.6231731053045426    ,                             0.0007415532048596    ,   0.062683             ,    0.0636255           ,   0.0                 , 0.0                   , 0.00390625            ,    0.03515625         ,   0.0793               ,   0.06616699999999999  ,   0.070892             ,   0.06448289999999991  ,        55397.7958968      ,         98181.04492800002
euroa21        ,        156.92680901999074  ,       145.74032645500156   ,     0.0                ,    17.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,              0.19               ,         26.0               ,        23.6                ,                1330552.9581497186  ,               1214455.4791451506   ,              36.611194700000006 ,              40.0023536         ,0.019                ,0.018                ,                     50.315133908045915 ,                     58.947551290322586 ,                                0.0 ,                    0.0             ,                     128.3099999999999  ,                     115.04734693877533 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         24.1               ,                       26.1 ,              1.2866619999999998 ,             1.5912213           ,                             0.00098832221832133   ,                             0.00084645651625192   ,   0.05597859999999999  ,    0.0636439999999999  ,   0.0                 , 0.0                   , 0.011328125000000008  ,    0.0                ,   0.05149389999999999  ,   0.066437             ,   0.052214             ,   0.0738979999999999   ,        57575.619007199995 ,         97207.496832
euroa22        ,        154.94979458550412  ,       128.86649754128416   ,     0.0                ,     0.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.298              ,              0.55               ,         28.0               ,        20.9                ,                1304582.6322378158  ,               1094447.3268654917   ,              63.275248          ,              56.9020196         ,0.019                ,0.028500000000000008 ,                     96.01930000000016  ,                    107.78504000000007  ,                                0.0 ,                    0.0             ,                     316.5              ,                     178.70833333333334 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         21.5               ,                       29.0 ,             31.08195            ,             1.4911192           ,                             4.997311030595809     ,                             0.0008178160919539099 ,   0.06718620000000002  ,    0.053909            ,   0.0                 , 0.0                   , 0.0                   ,    0.0                ,   0.06187120000000001  ,   0.055838000000000006 ,   0.06532899999999991  ,   0.0550258            ,        58232.33918460001  ,         97293.42335999999
euroa23        ,        163.1527160556876   ,       156.0040541748774    ,     0.0                ,     0.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,              0.0                ,         25.9               ,        29.0                ,                1376744.6761662075  ,               1319242.283973921    ,              30.482907          ,              33.839226          ,0.019                ,0.021                ,                     42.41383333333335  ,                     45.09983333333333  ,                                0.0 ,                    0.0             ,                      89.75999999999905 ,                      88.76315789473658 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         30.0               ,                       28.0 ,              0.4834828999999999 ,             1.7602274           ,                             0.00103775353016672   ,                             0.00082854301499599   ,   0.07115600000000001  ,    0.143982            ,   0.0                 , 0.0                   , 0.0078125             ,    0.0                ,   0.06582339999999991  ,   0.191132             ,   0.065399             ,   0.147034             ,        57314.580390899995 ,         96959.812992
euroa31        ,        127.44790961649178  ,        35.99954361879022   ,     0.0                ,     0.0                ,                1280.0 ,                 480.0 ,                  720.0 ,                  270.0 ,              0.826              ,              0.0                ,         23.6               ,         7.9                ,                1059092.0392108476  ,                278667.3869979123   ,              60.226691200000005 ,              33.1000809         ,0.03                 ,0.037200000000000004 ,                    120.05447888888882  ,                    135.9851129411763   ,                                0.0 ,                    0.0             ,                     139.58333333333334 ,                     150.38636363636363 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                 480.0 ,                1280.0 ,          7.1               ,                       24.3 ,             13.396124           ,             8.9914725           ,                             3.6529530201342295    ,                             3.4588286428571444    ,   0.05657009999999991  ,    0.0885972           ,   0.0                 , 0.0                   , 0.0                   ,    0.0703125          ,   0.06896390000000001  ,   0.0633532            ,   0.064636             ,   0.08486780000000002  ,        56638.301202       ,         97062.516528
euroa32        ,        145.87702744449368  ,       110.04378869135996   ,     0.0                ,     0.0                ,                1280.0 ,                 960.0 ,                  720.0 ,                  540.0 ,              0.309              ,              1.613              ,         29.0               ,        17.0                ,                1212620.016332854   ,                910762.4111328556   ,              78.1450889         ,             135.070694          ,0.0262               ,0.035                ,                    128.53755           ,                    269.3906470588235   ,                                0.0 ,                    0.0             ,                     290.4545454545452  ,                     474.2999999999994  ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                 960.0 ,                1280.0 ,         18.0               ,                       29.0 ,             40.100458           ,            12.071351599999998   ,                            10.36851006711409      ,                            14.168407805108785     ,   0.067947             ,    0.32413829999999993 ,   0.0                 , 0.0                   , 0.0                   ,    0.0                ,   0.07782              ,   0.2964631999999999   ,   0.082062             ,   0.3438555000000001   ,        57021.7594338      ,         97792.221504
seymore11      ,        148.97969160844238  ,       166.9442153836269    ,     0.0                ,     0.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.224              ,              0.0                ,         28.8               ,        29.0                ,                1233964.5872734406  ,               1408304.974374329    ,              35.4016198         ,              45.203578750000005 ,0.0218               ,0.026                ,                     66.33363999999995  ,                    126.93449000000004  ,                                0.0 ,                    0.0             ,                     174.45878787878794 ,                     224.97443977591027 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         30.0               ,                       30.0 ,              6.589218999999999  ,             0.1985564           ,                             3.7038484546360926    ,                             0.0008208893360161    ,   0.07091410000000001  ,    0.16329675000000002 ,   0.0                 , 0.0                   , 0.0                   ,    0.0                ,   0.070706             ,   0.15983035           ,   0.0756974999999999   ,   0.12925720000000002  ,        58007.8063278      ,         97292.40912
