call_number,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits/s_ellen,IT01V_bytesReceived_in_bits/s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay/emissions_ellen,IT01V_jitterBufferDelay/emissions_aadya,IT01A_bytesReceived_in_bits/s_ellen,IT01A_bytesReceived_in_bits/s_aadya,IT01A_jitterBufferDelay/emissions_ellen,IT01A_jitterBufferDelay/emissions_aadya,OT01V_packetsSent/s_ellen,OT01V_packetsSent/s_aadya,OT01V_bytesSent_in_bits/s_ellen,OT01V_bytesSent_in_bits/s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay/packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay/packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya
1,159.42852182808028,156.99631703722454,0.0,15.699999999999992,1280.0,1280.0,720.0,720.0,0.0,0.878,29.0,25.2,1365783.3795051088,1324942.7678179573,23.477868,28.417622199999997,0.01,0.012,33.99049999999999,154.24028869565228,0.0,0.0,39.61999999999996,40.0,0.0,0.0,0.0,0.0,896.0000000000001,1280.0,29.6,29.0,1.4179720999999998,0.4194483,0.00101585885049934,0.0008644766997709401,0.07387979999999994,0.27164449999999996,0.0,0.0,0.00390625,0.0,0.0727538,0.27211749999999996,0.07261379999999999,0.27181999999999995,59905.5669198,93934.95216
2,78.45841221039865,99.54544196356603,0.0,0.0,1280.0,1280.0,720.0,720.0,0.213,0.294,30.0,25.6,582470.0522388415,783844.0726974849,79.83097204999999,49.5001563,0.021849999999999998,0.026099999999999998,170.594064795082,164.46051810344827,0.0,0.0,126.20717957854016,50.0,0.0,0.0,0.0,0.0,1040.0,1280.0,29.0,29.0,84.06794665,61.960242,50.94937962405483,34.5811224489796,0.07685474999999994,0.6093674,0.0,0.0,0.0,0.0,0.07566075,0.638168,0.07527029999999997,0.598152,59719.58615070001,94886.48673599999
3,76.40220732187147,18.59958948528233,0.0,0.0,1280.0,960.0,720.0,540.0,0.232,0.0,29.0,26.0,568734.0782068811,162085.8070403317,84.05723225,23.666125599999997,0.0225,0.04939999999999997,147.60199166666663,436.4586,0.0,0.0,103.81299776999042,68.46666666666667,0.0,0.0,0.0,0.0,880.0,1280.0,10.0,30.0,68.52270485,38.6701122,9.907785380353847,28.963541897233217,0.07300575000000001,0.8561432,0.0,0.0,0.0,0.0,0.07484774999999999,0.8152896,0.07222374999999995,0.8184205,60206.78248830001,91916.615232
4,157.34606121289735,128.42821894933118,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,29.0,1323514.0907411035,1038855.8529197735,27.0542425,57.24695700000001,0.011,0.026,38.261083333333296,103.67883333333339,0.0,0.0,59.38775510204079,180.0000000000001,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,30.0,34.1363468,0.8793584,7.765537224819782,0.00080116657456856,0.07151499999999994,0.2892974,0.0,0.0,0.0,0.0,0.07121599999999996,0.28222649999999994,0.07248699999999994,0.287277,60325.6414698,98079.170016
5,46.49682745722273,161.62731985794892,0.0,0.0,640.0,1280.0,360.0,720.0,0.0,0.0,24.5,30.0,312743.1196568929,1369281.4645513059,46.817994999999996,26.5018894,0.0295,0.013,129.56783011272142,52.30723333333335,0.0,0.0,208.14526315789485,56.560689655172446,0.0,0.0,0.0,0.0,1280.0,640.0,29.0,21.0,4.091204100000001,25.1392715,0.001229781084737391,37.723402631578956,0.07077319999999994,0.43779599999999996,0.0,0.0,0.0,0.0,0.07091379999999996,0.45024849999999994,0.07035849999999999,0.5766754999999999,60356.0911086,97142.54745600001
6,153.5619628876775,159.56035265717082,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1290995.207631574,1360942.2318199477,29.908481000000002,29.677867000000003,0.011,0.014,46.40531666666667,45.355346666666655,0.0,0.0,38.00000000000005,37.40000000000008,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,30.0,0.5999772,1.3759624000000001,0.00118486328725028,0.0008973435082481601,0.07206399999999996,0.2692416,0.0,0.0,0.0,0.0,0.08130180000000001,0.2881015,0.0725802,0.281639,60129.8985042,99589.15800000001
7,9.7504717102761,158.02072129171142,0.0,0.0,320.0,1280.0,180.0,720.0,3.082,0.0,6.6000000000000005,29.0,59545.94846254161,1317220.7274418098,60.887294,23.793657,0.08524999999999994,0.02,316.17716792582416,52.62322580645163,0.0,0.0,297.72559027777777,40.0,0.0,0.0,0.0,0.0,320.0,320.0,30.0,4.5,10.5339287,42.858894,1.099632643854273,159.17254621848738,0.07215149999999995,0.7870391999999999,0.0,0.0,0.0,0.19921875,0.07150675000000001,0.7893096,0.07206725,0.7859345,60515.665172550005,92175.963024
8,164.2375328293296,153.0943859261266,1.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1402805.7141314205,1295445.7395069848,24.823538999999997,61.20065460000001,0.009,0.0256,35.15155177595628,105.40088666666657,0.0,0.0,39.24579124579127,62.78166666666669,0.0,0.0,0.0,0.0,1280.0,1280.0,30.0,30.0,46.39926260000001,1.053475,17.62324083390019,0.0007994338007766001,0.07235725,0.2789615,0.0,0.0,0.0,0.0,0.07221225,0.28102099999999997,0.073162,0.2789982,60297.15825000001,98735.74233600001
9,136.6040029946658,86.9862526300947,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,27.0,1135152.4671597595,677829.0972376979,27.1262455,53.073599599999994,0.0115,0.034699999999999995,41.79396505376345,182.0176460784314,0.0,0.0,83.73500000000003,104.94829268292683,0.0,0.0,0.0,0.0,1280.0,1280.0,24.2,30.0,128.8564402,3.8257288,30.66518622363586,0.0008343145161294801,0.0723478,0.7863568,0.0,0.0,0.0,0.0,0.07222599999999993,0.7790836,0.073021,0.7915725,60111.2559348,92124.557568
10,16.750731383068548,163.0040417719708,0.0,0.0,480.0,1280.0,270.0,720.0,2.638,0.0,23.200000000000003,29.0,92373.96670689108,1374634.084783749,35.31323525,26.443858,0.05075,0.018,331.36834375,50.73076666666658,0.0,0.0,367.0367676767676,64.48163265306128,0.0,0.0,0.0,0.0,320.0,480.0,29.0,11.6,10.3685671,43.704601000000004,0.2535944270014129,160.8169260638296,0.07129674999999999,0.6079440000000003,0.0,0.0,0.0,0.03515625,0.07143024999999995,0.744049,0.07135,0.638809,59423.85862875,97103.051808
