condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
6.0,20000.0,25000,750,2.092,3.381,2.58,5000.0,50000,100,4.27,3.64,3.93,2.092,3.381,2.58
6.0,20000.0,12000,750,1.98,1.0,1.33,5000.0,12000,100,2.06,3.918,2.7,1.98,1.0,1.33
6.0,5000.0,12000,250,4.052,3.597,3.81,20000.0,12000,400,4.074,3.67,3.86,4.052,3.597,3.81
6.0,5000.0,25000,550,2.393,3.6315,2.88,20000.0,12000,400,3.123,3.68,3.38,2.393,3.6315,2.88
6.0,1000.0,50000,400,3.375,3.277,3.33,5000.0,50000,100,2.455,1.1290000000000002,1.55,2.455,1.1290000000000002,1.55
6.0,500.0,2000,400,1.0,2.776,1.47,5000.0,12000,100,1.802,2.655,2.15,1.0,2.655,1.47
7.0,20000.0,25000,400,3.01,3.5955,3.28,5000.0,50000,250,4.084,3.59,3.82,3.01,3.59,3.28
7.0,5000.0,2000,750,1.6765,2.53,2.02,5000.0,5000,100,4.226,3.6315,3.91,1.6765,2.53,2.02
7.0,1000.0,25000,100,3.428,3.04,3.22,20000.0,12000,550,3.74,2.982,3.32,3.428,2.982,3.22
7.0,5000.0,5000,250,4.01,3.743,3.87,5000.0,50000,250,3.9525,3.638,3.79,3.9525,3.638,3.79
7.0,500.0,12000,750,1.764,3.76,2.4,5000.0,5000,100,1.946,1.0,1.32,1.764,1.0,1.32
7.0,20000.0,2000,100,4.1125,3.4730000000000003,3.77,20000.0,12000,550,3.9,3.328,3.59,3.9,3.328,3.59
7.0,500.0,50000,750,1.94,3.442,2.48,5000.0,5000,100,3.044,3.3145,3.17,1.94,3.3145,2.48
7.0,5000.0,5000,750,1.71,3.603,2.32,20000.0,12000,550,3.0615,3.646,3.33,1.71,3.603,2.32
7.0,5000.0,12000,750,1.828,3.775,2.46,5000.0,50000,250,3.64,3.58,3.61,1.828,3.58,2.46
8.0,1000.0,2000,100,3.6615,3.7475,3.7,20000.0,12000,750,2.476,2.952,2.69,2.476,2.952,2.69
8.0,20000.0,50000,750,-1.0,-1.0,-1.0,5000.0,50000,400,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8.0,20000.0,2000,400,-1.0,-1.0,-1.0,5000.0,2000,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8.0,500.0,2000,750,2.01,1.0235,1.36,5000.0,2000,100,3.623,3.173,3.38,2.01,1.0235,1.36
8.0,1000.0,5000,400,1.925,3.443,2.47,5000.0,50000,400,2.398,3.1615,2.73,1.925,3.1615,2.47
8.0,5000.0,2000,100,4.1625,3.5215,3.82,20000.0,12000,750,3.5875,3.0375,3.29,3.5875,3.0375,3.29
8.0,1000.0,50000,750,2.133,2.7,2.38,5000.0,2000,100,3.6575,2.764,3.15,2.133,2.7,2.38
8.0,1000.0,12000,100,4.0675,3.514,3.77,5000.0,50000,400,1.6825,1.987,1.82,1.6825,1.987,1.82
8.0,20000.0,5000,550,2.897,3.592,3.21,20000.0,12000,750,3.044,2.5210000000000004,2.76,2.897,2.5210000000000004,2.76
9.0,1000.0,5000,750,1.618,3.07,2.12,20000.0,5000,250,1.016,1.0,1.01,1.016,1.0,1.01
9.0,500.0,5000,750,1.01,3.1705,1.53,1000.0,25000,100,3.94,3.382,3.64,1.01,3.1705,1.53
