condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
14.1,20000.0,12000,550,3.0025,3.64,3.29,20000.0,12000,550,3.082,3.576,3.31,3.0025,3.576,3.29
14.2,20000.0,12000,550,3.08,3.6260000000000003,3.33,20000.0,12000,550,2.835,3.4145,3.1,2.835,3.4145,3.1
15.0,20000.0,12000,750,2.264,3.5820000000000003,2.77,20000.0,12000,750,1.7999999999999998,3.3880000000000003,2.35,1.7999999999999998,3.3880000000000003,2.35
15.1,20000.0,12000,750,2.3,3.163,2.66,20000.0,12000,750,1.6025,3.6180000000000003,2.22,1.6025,3.163,2.22
15.2,20000.0,12000,750,1.998,3.5655,2.56,20000.0,12000,750,2.324,3.67,2.85,1.998,3.5655,2.56
16.0,20000.0,5000,100,4.255,3.66,3.94,20000.0,5000,100,4.15,3.607,3.86,4.15,3.607,3.86
16.1,20000.0,5000,100,4.245,3.644,3.92,20000.0,5000,100,3.745,3.6630000000000003,3.7,3.745,3.644,3.7
16.2,20000.0,5000,100,3.685,3.69,3.69,20000.0,5000,100,4.0375,3.4175,3.7,3.685,3.4175,3.69
17.0,20000.0,5000,250,3.81,3.73,3.77,20000.0,5000,250,3.875,3.5625,3.71,3.81,3.5625,3.71
17.1,20000.0,5000,250,4.02,3.752,3.88,20000.0,5000,250,3.795,3.6830000000000003,3.74,3.795,3.6830000000000003,3.74
17.2,20000.0,5000,250,3.9699999999999998,3.564,3.76,20000.0,5000,250,3.84,3.6425,3.74,3.84,3.564,3.74
18.0,20000.0,5000,400,3.234,3.7,3.45,20000.0,5000,400,3.391,3.6225,3.5,3.234,3.6225,3.45
18.1,20000.0,5000,400,3.524,3.6505,3.59,20000.0,5000,400,3.0075,3.6500000000000004,3.3,3.0075,3.6500000000000004,3.3
18.2,20000.0,5000,400,3.2525,3.63,3.43,20000.0,5000,400,3.325,3.652,3.48,3.2525,3.63,3.43
19.0,20000.0,5000,550,3.07,3.632,3.33,20000.0,5000,550,2.7625,3.614,3.13,2.7625,3.614,3.13
19.1,20000.0,5000,550,3.082,3.71,3.37,20000.0,5000,550,2.853,3.5575,3.17,2.853,3.5575,3.17
19.2,20000.0,5000,550,2.98,3.721,3.31,20000.0,5000,550,2.8024999999999998,3.644,3.17,2.8024999999999998,3.644,3.17
20.0,20000.0,5000,750,2.14,3.4885,2.65,20000.0,5000,750,2.52,3.6260000000000003,2.97,2.14,3.4885,2.65
20.1,20000.0,5000,750,2.1380000000000003,3.379,2.62,20000.0,5000,750,1.9889999999999999,2.815,2.33,1.9889999999999999,2.815,2.33
20.2,20000.0,5000,750,2.412,3.66,2.91,20000.0,5000,750,2.28,3.582,2.79,2.28,3.582,2.79
21.0,20000.0,2000,100,3.2925,3.416,3.35,20000.0,2000,100,3.863,3.4,3.62,3.2925,3.4,3.35
21.1,20000.0,2000,100,3.2525000000000004,3.294,3.27,20000.0,2000,100,3.4330000000000003,3.286,3.36,3.2525000000000004,3.286,3.27
21.2,20000.0,2000,100,2.93,3.334,3.12,20000.0,2000,100,3.0260000000000002,3.144,3.08,2.93,3.144,3.08
22.0,20000.0,2000,250,-1.0,-1.0,-1.0,20000.0,2000,250,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22.1,20000.0,2000,250,1.602,1.9025,1.74,20000.0,2000,250,2.128,3.04,2.5,1.602,1.9025,1.74
22.2,20000.0,2000,250,2.9299999999999997,2.798,2.86,20000.0,2000,250,3.012,2.868,2.94,2.9299999999999997,2.798,2.86
23.0,20000.0,2000,400,1.95,2.461,2.18,20000.0,2000,400,2.36,2.616,2.48,1.95,2.461,2.18
23.1,20000.0,2000,400,2.406,3.393,2.82,20000.0,2000,400,2.2699999999999996,3.37,2.71,2.2699999999999996,3.37,2.71
23.2,20000.0,2000,400,2.3745000000000003,3.198,2.73,20000.0,2000,400,2.1425,2.545,2.33,2.1425,2.545,2.33
24.0,20000.0,2000,550,1.806,2.66,2.15,20000.0,2000,550,1.7349999999999999,2.2985,1.98,1.7349999999999999,2.2985,1.98
24.1,20000.0,2000,550,1.3980000000000001,1.871,1.6,20000.0,2000,550,1.205,2.672,1.66,1.205,1.871,1.6
24.2,20000.0,2000,550,1.73,2.3985,2.01,20000.0,2000,550,1.885,2.995,2.31,1.73,2.3985,2.01
25.0,20000.0,2000,750,1.3800000000000001,3.27,1.94,20000.0,2000,750,1.33,2.8825,1.82,1.33,2.8825,1.82
25.1,20000.0,2000,750,1.42,2.9545000000000003,1.92,20000.0,2000,750,1.345,3.044,1.87,1.345,2.9545000000000003,1.87
25.2,20000.0,2000,750,1.599,2.374,1.91,20000.0,2000,750,1.3760000000000001,1.4250000000000003,1.4,1.3760000000000001,1.4250000000000003,1.4
26.0,5000.0,50000,100,4.157500000000001,3.642,3.88,5000.0,50000,100,4.086,3.62,3.84,4.086,3.62,3.84
26.1,5000.0,50000,100,4.16,3.6945,3.91,5000.0,50000,100,4.2635,3.6830000000000003,3.95,4.16,3.6830000000000003,3.91
26.2,5000.0,50000,100,4.16,3.6315,3.88,5000.0,50000,100,3.773,3.61,3.69,3.773,3.61,3.69
27.0,5000.0,50000,250,3.9545000000000003,3.632,3.79,5000.0,50000,250,3.732,3.402,3.56,3.732,3.402,3.56
27.1,5000.0,50000,250,4.0225,3.6815,3.84,5000.0,50000,250,3.455,3.455,3.46,3.455,3.455,3.46
27.2,5000.0,50000,250,4.03,3.69,3.85,5000.0,50000,250,3.87,3.5374999999999996,3.7,3.87,3.5374999999999996,3.7
28.0,5000.0,50000,400,3.2350000000000003,3.6615,3.44,5000.0,50000,400,2.995,3.623,3.28,2.995,3.623,3.28
28.1,5000.0,50000,400,3.339,3.672,3.5,5000.0,50000,400,3.17,3.6425,3.39,3.17,3.6425,3.39
28.2,5000.0,50000,400,3.422,3.592,3.5,5000.0,50000,400,3.5124999999999997,3.63,3.57,3.422,3.592,3.5
29.0,5000.0,50000,550,2.808,3.06,2.93,5000.0,50000,550,3.074,3.72,3.37,2.808,3.06,2.93
29.1,5000.0,50000,550,3.03,3.692,3.33,5000.0,50000,550,2.9425,3.632,3.25,2.9425,3.632,3.25
29.2,5000.0,50000,550,2.915,2.6260000000000003,2.76,5000.0,50000,550,2.929,3.3925,3.14,2.915,2.6260000000000003,2.76
30.0,5000.0,50000,750,2.394,3.6955,2.91,5000.0,50000,750,2.244,3.71,2.8,2.244,3.6955,2.8
30.1,5000.0,50000,750,2.273,3.6020000000000003,2.79,5000.0,50000,750,2.0275,3.0860000000000003,2.45,2.0275,3.0860000000000003,2.45
30.2,5000.0,50000,750,2.3274999999999997,3.74,2.87,5000.0,50000,750,1.986,3.69,2.58,1.986,3.69,2.58
31.0,5000.0,25000,100,4.144,3.68,3.9,5000.0,25000,100,4.22,3.5940000000000003,3.88,4.144,3.5940000000000003,3.88
31.1,5000.0,25000,100,4.226,3.7215000000000003,3.96,5000.0,25000,100,4.202000000000001,3.6775,3.92,4.202000000000001,3.6775,3.92
31.2,5000.0,25000,100,4.204,3.6815,3.93,5000.0,25000,100,4.223,3.6125,3.89,4.204,3.6125,3.89
32.0,5000.0,25000,250,3.4,3.681,3.53,5000.0,25000,250,3.98,3.464,3.7,3.4,3.464,3.53
32.1,5000.0,25000,250,3.762,3.6430000000000002,3.7,5000.0,25000,250,4.013,3.5825,3.79,3.762,3.5825,3.7
32.2,5000.0,25000,250,3.725,3.672,3.7,5000.0,25000,250,3.8475,3.613,3.73,3.725,3.613,3.7
33.0,5000.0,25000,400,3.422,3.7430000000000003,3.58,5000.0,25000,400,3.3325,3.5949999999999998,3.46,3.3325,3.5949999999999998,3.46
33.1,5000.0,25000,400,3.442,3.6660000000000004,3.55,5000.0,25000,400,3.375,3.635,3.5,3.375,3.635,3.5
33.2,5000.0,25000,400,3.3575,3.7,3.52,5000.0,25000,400,2.996,3.575,3.26,2.996,3.575,3.26
34.0,5000.0,25000,550,2.93,3.593,3.23,5000.0,25000,550,2.8200000000000003,3.5100000000000002,3.13,2.8200000000000003,3.5100000000000002,3.13
34.1,5000.0,25000,550,2.672,3.701,3.1,5000.0,25000,550,2.338,3.465,2.79,2.338,3.465,2.79
34.2,5000.0,25000,550,3.002,3.6830000000000003,3.31,5000.0,25000,550,2.5175,3.662,2.98,2.5175,3.662,2.98
35.0,5000.0,25000,750,2.3045,3.668,2.83,5000.0,25000,750,2.0,2.76,2.32,2.0,2.76,2.32
35.1,5000.0,25000,750,2.293,3.6205000000000003,2.81,5000.0,25000,750,2.208,3.639,2.75,2.208,3.6205000000000003,2.75
35.2,5000.0,25000,750,2.32,3.269,2.71,5000.0,25000,750,2.293,3.0425,2.62,2.293,3.0425,2.62
36.0,5000.0,12000,100,3.88,3.655,3.76,5000.0,12000,100,4.107,3.6035,3.84,3.88,3.6035,3.76
36.1,5000.0,12000,100,4.1,3.6845000000000003,3.88,5000.0,12000,100,4.203,3.614,3.89,4.1,3.614,3.88
36.2,5000.0,12000,100,4.208,3.632,3.9,5000.0,12000,100,3.8805,3.5540000000000003,3.71,3.8805,3.5540000000000003,3.71
37.0,5000.0,12000,250,3.864,3.671,3.77,5000.0,12000,250,3.355,3.633,3.49,3.355,3.633,3.49
37.1,5000.0,12000,250,3.93,3.67,3.8,5000.0,12000,250,3.3920000000000003,3.5675,3.48,3.3920000000000003,3.5675,3.48
37.2,5000.0,12000,250,3.98,3.69,3.83,5000.0,12000,250,3.6380000000000003,3.457,3.55,3.6380000000000003,3.457,3.55
38.0,5000.0,12000,400,3.436,3.394,3.41,5000.0,12000,400,3.045,3.658,3.32,3.045,3.394,3.32
38.1,5000.0,12000,400,3.428,3.704,3.56,5000.0,12000,400,3.4325,3.5580000000000003,3.49,3.428,3.5580000000000003,3.49
38.2,5000.0,12000,400,2.9560000000000004,3.603,3.25,5000.0,12000,400,3.6125,3.66,3.64,2.9560000000000004,3.603,3.25
39.0,5000.0,12000,550,2.955,3.6415,3.26,5000.0,12000,550,3.053,3.63,3.32,2.955,3.63,3.26
39.1,5000.0,12000,550,2.915,3.633,3.23,5000.0,12000,550,2.435,3.622,2.91,2.435,3.622,2.91
39.2,5000.0,12000,550,2.976,3.52,3.23,5000.0,12000,550,2.9675000000000002,3.646,3.27,2.9675000000000002,3.52,3.23
40.0,5000.0,12000,750,2.414,3.64,2.9,5000.0,12000,750,1.7675,3.68,2.39,1.7675,3.64,2.39
40.1,5000.0,12000,750,2.08,2.9565,2.44,5000.0,12000,750,2.2439999999999998,3.6105,2.77,2.08,2.9565,2.44
40.2,5000.0,12000,750,2.044,3.661,2.62,5000.0,12000,750,2.182,3.525,2.7,2.044,3.525,2.62
41.0,5000.0,5000,100,4.2275,3.742,3.97,5000.0,5000,100,4.074,3.54,3.79,4.074,3.54,3.79
41.1,5000.0,5000,100,3.7920000000000003,3.603,3.7,5000.0,5000,100,3.921,3.6625,3.79,3.7920000000000003,3.603,3.7
41.2,5000.0,5000,100,4.192500000000001,3.642,3.9,5000.0,5000,100,4.206,3.5725,3.86,4.192500000000001,3.5725,3.86
42.0,5000.0,5000,250,3.9625000000000004,3.7015000000000002,3.83,5000.0,5000,250,3.339,3.535,3.43,3.339,3.535,3.43
42.1,5000.0,5000,250,3.876,3.4865,3.67,5000.0,5000,250,3.755,3.6025,3.68,3.755,3.4865,3.67
42.2,5000.0,5000,250,3.912,3.681,3.79,5000.0,5000,250,3.5650000000000004,3.58,3.57,3.5650000000000004,3.58,3.57
43.0,5000.0,5000,400,3.572,3.6620000000000004,3.62,5000.0,5000,400,3.365,3.323,3.34,3.365,3.323,3.34
43.1,5000.0,5000,400,3.4219999999999997,3.69,3.55,5000.0,5000,400,3.4125,3.662,3.53,3.4125,3.662,3.53
43.2,5000.0,5000,400,3.528,3.731,3.63,5000.0,5000,400,3.0125,3.692,3.32,3.0125,3.692,3.32
44.0,5000.0,5000,550,2.82,3.693,3.2,5000.0,5000,550,2.9825,3.633,3.28,2.82,3.633,3.2
44.1,5000.0,5000,550,2.58,3.6660000000000004,3.03,5000.0,5000,550,3.0749999999999997,3.622,3.33,2.58,3.622,3.03
