identifier,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya,Upload,Download,Latency,Condition
135,82.98231848431726,160.41546244790797,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,26.2,29.0,620186.7936973668,1349716.5300347342,76.41987920000001,26.069576100000003,0.0239,0.014,165.74115903225822,50.22774666666665,1505.700830375436,13572.85080809392,144.15000000000018,50.0,164.94009782375304,82.25970581766408,1389682.2073218506,623168.806486069,1280.0,1280.0,30.0,26.3,11.036951,67.5604925,0.0011812229437243,80.0562401691332,0.0699261999999999,0.6078918,0.0,0.0,0.0,0.0,0.0697492999999999,0.5782106,0.0704009999999999,0.6125853,63677.9760876,100640.82768,1000,12000,550,71.1
136,155.12390441663402,157.2242850427674,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.2,29.0,1318499.2034034897,1325170.8569079435,39.2378242,36.464715600000005,0.0118,0.015,61.4858000000001,64.49010000000011,16385.847462106598,10648.686783282472,68.74439024390252,40.39795918367345,159.8639091279474,156.79247035887192,1347209.0408518205,1338657.916900279,1280.0,1280.0,30.0,29.0,9.8229918,2.1401742,0.4726604626004547,0.0007589225589242,0.0717288,0.428409,0.0,0.0,0.0,0.0,0.0820279999999998,0.4305881999999999,0.072873,0.4247649999999999,63587.38489740001,103161.318432,5000,5000,400,54.2
137,85.22011740784963,158.26264330079297,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.475,28.2,29.0,644690.5841500547,1334554.0505233957,71.123407,27.986159,0.023,0.0168,163.45281720430114,98.2599007352942,19831.485170715387,15000.685918698642,216.57324263038544,56.22117647058821,160.2291926176499,82.81332050763815,1378302.4283046792,638088.059943794,1280.0,1280.0,30.0,29.0,63.1591754,63.7816108,0.4407303749570118,83.51179166666665,0.0720767999999999,0.837268,0.0,0.0,0.0,0.0,0.0709197999999999,0.870255,0.0722746,0.8152866,63586.5294456,94008.144768,1000,12000,750,91.1
138,33.970392194079025,150.9887525887545,0.0,0.0,640.0,1280.0,360.0,720.0,0.0,0.0,24.200000000000003,29.0,197816.70041970504,1272961.58472559,55.8904662,61.5406606,0.015,0.026,136.33660645161288,110.26853999999996,19708.97757695223,25050.672623626648,216.5988341282459,59.47999999999999,154.1711363371285,33.95264509738899,1300375.0797532306,197890.86991756395,1280.0,640.0,30.0,26.6,48.0833276,24.4486984,13.735250871408368,48.34993477297894,0.0712188,0.3097261999999999,0.0,0.0,0.0,0.0,0.0709135999999999,0.3143984,0.0704953999999999,0.3184266,63273.1921542,101491.857792,500,2000,250,40.1
139,158.31852405323733,165.3852854134733,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.2,29.0,1331894.952796751,1385414.6970680116,23.9584778,37.856227,0.01,0.0186,38.62344344086023,65.40731076923076,14908.988886009,25140.849613396967,40.0,60.20000000000003,165.9634084150825,158.9980592265038,1407554.306200517,1338707.584007728,1280.0,1280.0,30.0,30.0,5.06668,0.719113,1.25745355978727,0.0007614234507698,0.0718448,0.2694608,0.0,0.0,0.0,0.0,0.0876282,0.2689941999999999,0.0717197999999999,0.2690218,63465.7047066,102298.150848,20000,5000,250,33.1
140,160.43851756448186,153.20805780739232,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1349234.8858626662,1271159.657669327,33.04530090000001,48.47824020000001,0.012,0.026,54.86810666666666,106.43935666666653,25107.353447025576,25261.87518319135,38.78,120.79843137254906,150.40298620352974,161.34209162267467,1275819.2687415096,1383099.693589631,1280.0,1280.0,30.0,29.0,71.5252947,6.4719474,24.007394484600862,1.9986339967724585,0.0711857,0.5807829999999999,0.0,0.0,0.0,0.0,0.072072,0.5796188999999999,0.0713864,0.5808958,63632.70386550001,97045.706016,20000,2000,550,77.1
141,157.13426004858846,159.81046776152073,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1311602.9759134322,1352218.2555454106,66.9210682,42.891896800000005,0.019,0.0234,116.53262172043014,76.8719193939394,19070.103740997434,11662.331324356275,111.3327659574468,165.45,146.54592220734432,160.31868211475418,1225618.4595756717,1350507.495651862,1280.0,1280.0,30.0,30.0,9.7327722,6.366412599999999,0.9734100200904052,3.214286907216493,0.0720369999999999,0.6034267999999999,0.0,0.0,0.0,0.0,0.072238,0.5968325999999999,0.0726039999999998,0.5826626,63506.7962928,97773.531648,20000,5000,550,73.1
142,154.24954850491127,164.26995136830752,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.3,29.3,1304587.4759836532,1400721.1521568175,42.7170026,24.0272632,0.013,0.015,76.63155666666675,40.42151000000005,8846.215016856162,17454.323316782986,53.42,38.17749999999997,162.89591588603338,154.7682166338873,1383993.071422635,1306218.1410791618,1280.0,1280.0,30.0,30.0,4.2067585,10.6525537,0.0011951198439222,5.040241327730105,0.0711441999999999,0.7704038999999999,0.0,0.0,0.0,0.0,0.072841,0.7694535,0.0715816999999999,0.7706116999999999,65236.0073463,96633.127248,20000,5000,750,93.1
143,41.37513993220188,154.0874142741558,0.0,0.0,640.0,1280.0,360.0,720.0,0.283,0.0,29.0,29.0,261437.5371757324,1308016.0117200057,60.6286642,59.4859966,0.014,0.027,124.65988535980144,108.65947333333338,11197.358282714324,21688.14617101836,296.1054945054945,58.54901960784314,161.54564939648722,41.18353536742968,1365176.0762706092,253905.28795363917,1280.0,640.0,30.0,30.0,49.2342792,23.629943,11.200604615834074,27.084998693877537,0.076932,0.3158356,0.0,0.0,0.0,0.0,0.0732668,0.3203554,0.0715453999999999,0.4881315999999999,64042.4031408,102230.9208,500,2000,250,40.2
144,156.2298527401127,158.54613988486076,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.3,1316796.4611034396,1341997.912615002,29.9661667,32.7192964,0.012,0.017,41.7279444827586,50.21068,11413.833273604583,21368.51394932865,49.09523809523809,40.0,159.70434149470216,158.23482926087308,1333090.6245071106,1333599.2095956206,1280.0,1280.0,30.0,30.0,7.1339376,1.4445421,1.1769107569337462,0.0008528576589595,0.0735746999999999,0.2721329,0.0,0.0,0.0,0.0,0.0766801999999999,0.271912,0.0735880999999999,0.2712338999999999,65285.6283135,104862.943872,5000,25000,250,26.2
