
Inbound Video
Ellen-jitter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.021,0.021,0.014,0.012,0.013,0.012,0.015,0.011,0.013,-1,-1,-1,-1,-1,-1,-1
Aadya-jitter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.01,0.009,0.009,0.01,0.01,0.011,0.011,0.01,0.01,0.01,0.009,0.009,-1,-1,-1,-1,-1,-1,-1

Inbound Audio
Ellen-[bytesReceived_in_bits/s],-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.655508390659,31103.28127363377,31009.007672803684,21618.45802559189,29959.92966342322,6017.18642167347,29367.173801777695,31405.491636348204,32468.395349069884,30219.189079437343,32030.839214429714,32747.903854352753,29689.514805833922,20479.462904710883,928.1411805327367,-1,-1,-1,-1,-1,-1,-1
Aadya-[bytesReceived_in_bits/s],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9926.87815946398,27263.36137788982,27920.07987998928,31900.10594409862,32119.586473066916,33731.79414190159,23022.896007547493,18291.17913760932,31150.940727966477,29254.074984379546,19196.819452973363,14558.384728789662,27175.963003762154,1064.763609155736,-1,-1,-1,-1,-1,-1,-1

Outbound Video
Ellen-[packetsSent/s],-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0023865596747292,15.539209269401363,83.92806332547039,145.50885209533004,192.5144585728345,179.03530077785092,204.99423281682195,155.9875412401401,174.85134127545635,172.0637090063302,172.9937307722384,179.02134100687587,175.00892923137081,167.99559414020646,174.02647134988814,-1,-1,-1,-1,-1,-1,-1
Aadya-[packetsSent/s],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.003672906003516,33.9961580803561,33.98923023057546,47.00013446846333,33.99585011595264,33.99956226912438,-34.028038239516206,119.91091670597653,166.02885700148443,174.17299764351438,192.82911448037063,191.04796350135015,189.77038271611113,150.04396534762674,187.13420574447616,-1,-1,-1,-1,-1,-1,-1
Ellen-[bytesSent_in_bits/s],-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7165.695922423687,67013.35794793568,200277.4410445317,1229130.28117742,1666966.742545276,1525076.702675131,1782157.8618536713,1334093.4456576598,1499700.9532701108,1469328.0393555448,1454091.3042778373,1552233.040597987,1509485.0163043712,1450929.9478477803,1470407.6652589883,-1,-1,-1,-1,-1,-1,-1
Aadya-[bytesSent_in_bits/s],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53773.93622705567,127545.58602147718,170082.10807379958,307216.87895454105,193264.4081533016,187213.5896993056,-412563.9422131273,973828.5308136903,1419574.7322301378,1456550.7216268296,1655380.9982827622,1652294.8164848706,1612784.5721341178,1273101.039526362,1606087.826902228,-1,-1,-1,-1,-1,-1,-1
Ellen-frameWidth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,320.0,320.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,-1,-1,-1,-1,-1,-1,-1
