
Inbound Video
Ellen-jitter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.019,0.011,0.011,0.011,0.012,0.012,0.01,0.013,0.011,0.013,0.01,0.011,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-jitter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.003,0.007,0.01,0.009,0.012,0.01,0.01,0.009,0.01,0.011,0.01,0.01,0.009,-1,-1,-1,-1,-1,-1,-1

Inbound Audio
Ellen-[bytesReceived_in_bits/s],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10542.723100820727,29194.306339601088,30860.405071962196,15219.01528017469,20597.83429028463,30813.553243467282,32327.98506558608,32397.729079163248,10383.80442034025,23613.951151598372,29981.651798122435,29632.925461060197,5987.364910634797,1399.927238431459,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-[bytesReceived_in_bits/s],-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.4830995289635,25722.603855019348,33390.318068581044,32556.986791926287,33149.65432703159,31735.548837867216,33155.991756236916,32888.871822739726,31794.339035948,31096.437752125938,31693.542040304237,31309.808184970196,33733.90277299514,32234.127261365888,32885.18444966875,-1,-1,-1,-1,-1,-1,-1

Outbound Video
Ellen-[packetsSent/s],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99830457240992,37.992590441946625,20.00804270744437,134.02655412351527,186.98034040209834,160.94543447308047,187.04620071982043,182.98717350268132,176.9966662557997,179.1058159379707,169.8507333271399,182.15321649260184,172.86617649195924,189.990125215698,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-[packetsSent/s],-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.985766069944212,36.03727190149037,4.981845020974732,118.4547496746208,136.957257020607,177.0867636917559,179.10799506175783,198.7635292980201,153.16542419710467,176.95696637494507,182.9396351682966,201.88270088623528,152.24326667147452,162.8087116882325,175.2407819333749,-1,-1,-1,-1,-1,-1,-1
Ellen-[bytesSent_in_bits/s],-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74303.00067035186,204544.10849934758,236447.0454994946,1093928.7355487922,1578146.0696295006,1392359.9465093764,1589824.689318212,1560394.6240416842,1510755.544816961,1550884.2643449418,1456711.8257947257,1556156.9470169726,1462108.1161277136,1610828.2767972131,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-[bytesSent_in_bits/s],-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62437.096327781255,157899.30890704124,127893.92537846332,959692.2739570753,1166324.0020354595,1509483.5717477659,1536430.4069793823,1698954.7387498945,1303239.545838988,1521278.045031087,1579454.8252167464,1754092.8263259516,1276856.2647701476,1391221.4167314405,1484663.9375610743,-1,-1,-1,-1,-1,-1,-1
Ellen-frameWidth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,320.0,320.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-frameWidth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,320.0,320.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,-1,-1,-1,-1,-1,-1,-1
Ellen-framesPerSecond,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.0,30.0,35.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-1,-1,-1,-1,-1,-1,-1,-1
Aadya-framesPerSecond,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38.0,30.0,41.0,30.0,29.0,30.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,-1,-1,-1,-1,-1,-1,-1
