
Inbound Video
Aadya-[packetsReceived/s],-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,55.02971704223172,54.98290593401481,61.99963045340506,62.01122153214047,62.03711011631056,54.954653250003275,59.073604263277026,54.93578192263444,62.05672585652683,59.968087965884244,60.96470873050745,58.02087438093205,70.00203615389127,54.99318207390822,63.052840885093474,58.98962060451361,76.88944048510416,57.0766001181758,45.01088167047831,50.01415414833404,53.94708578326408,62.012020056797546,72.99629301776581,52.02658199434612,32.001533581793296,53.015117187537264,59.96641609396822,62.98676983255804,50.840858071893244,61.184107929749814
Aadya-packetsLost,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,25.0,36.0,57.0,74.0,78.0,88.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Aadya-frameWidth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0
Aadya-totalFreezesDuration,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.556,0.556,0.556,0.556,0.841,0.841,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.512,1.512,1.512,1.512,1.512,1.512
Aadya-framesPerSecond,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.0,30.0,29.0,29.0,30.0,30.0,30.0,29.0,30.0,24.0,19.0,26.0,24.0,25.0,21.0,29.0,24.0,30.0,31.0,30.0,30.0,31.0,30.0,30.0,21.0,30.0,30.0,30.0,30.0,30.0
Aadya-[bytesReceived_in_bits/s],-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,375394.7199365273,378506.3232065531,429189.4418315778,430125.83544280555,446106.85764928866,409797.8484607881,418513.4575121304,378980.98400388454,443125.0592129284,409981.82806009526,442064.0977980009,404969.6974204558,525791.2937264048,396630.8266377803,443587.7448528189,420126.07759350206,560561.9665745709,428182.64602338447,301640.92363561783,355172.5148351453,377493.7337482833,434500.2210482865,559507.5864382002,371005.55824645096,234963.25994092182,357846.0393044968,399640.1834166418,449049.6785662611,359650.2237597129,434170.45401480695
Aadya-totalProcessingDelay,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.559797,1.1343239999999999,1.6909969999999999,2.309364,2.893046,3.538567,4.145332,4.738182999999999,5.265416999999999,5.786722,7.272796,9.886493999999999,12.353204999999999,15.299667999999999,16.858892,20.3022,23.548513,27.39304,31.740464999999997,36.016703,40.067496,43.743241999999995,47.155873,49.83135,50.953972,54.341651,58.374565999999994,62.40629,66.263463,69.932294
Aadya-jitter,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.003,0.006,0.003,0.005,0.006,0.005,0.004,0.004,0.005,0.006,0.009,0.007,0.013,0.016,0.021,0.015,0.013,0.011,0.013,0.005,0.005,0.006,0.007,0.018,0.057,0.013,0.008,0.005,0.004,0.004

Inbound Audio
Aadya-[bytesReceived_in_bits/s],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3921.7363358226594,30080.243875593715,23184.791898575844,14055.91622021067,25100.542186622537,33676.144807654004,26034.517183310643,21138.337850954314,25969.64236342719,29979.40407830148,18486.162583616584,25849.03650173516,25353.121384661066,54081.57307432057,26004.77598869464,22178.586571645577,831.8536329314462,12981.334107874729,31690.530535789956,51684.4950594879,10859.073148686288,1102.918198235621,808.1566484821358,9535.515756402941,36882.8445892226,36073.72873007649,31160.88548351247,10538.098188246682,20539.685705397973,57755.214769670725,47053.58805246596

Outbound Video
Aadya-[packetsSent/s],0.0,0.0,0.0,28.921536882356563,36.11010459127852,33.96962878514664,40.05936838003404,41.956995695949345,35.03215642028286,42.93143137484072,36.0194511549153,37.98818955441023,32.99980330584463,35.00633473588575,35.02094925920757,37.96866951818408,38.04740613566995,37.95563114654743,34.03110772777278,41.97766157611897,34.9797509109469,42.015115931019764,38.001105340683836,34.99566131975978,34.02851730306632,42.99243535583196,33.95118151290314,36.04837902200577,46.01112348537783,37.01047406976719,31.968643427119453,30.005816156514943,31.998375021486382,31.015846958167877,30.001437732931212,32.00912735851306,30.982648315216913,29.993699920265733,40.87206237152202,31.0935630462663
Aadya-[bytesSent_in_bits/s],0.0,0.0,0.0,118717.92243019743,203973.94413460194,142952.19078172886,224044.03547585438,248329.47185909218,197213.02410860494,253339.3749483159,200348.1916461178,201145.46431220457,202302.79418138159,219463.71408819983,214104.0753910914,215286.3528701583,207866.99718458334,210442.00039483645,192904.33323994683,237145.80279735476,180191.69057828805,236269.00335838026,221774.45076823086,211357.79635474575,147707.78522516883,235838.50352868935,171625.21967604966,196960.33222534572,292430.69700402307,188493.34415424135,137984.65719230435,67157.01733376797,121025.85392501687,139135.08843195668,94804.54323606263,148386.31215222695,102406.647644206,105185.90604037725,241715.38310604115,106295.8528190683
Aadya-frameWidth,-1,-1,-1,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Aadya-framesPerSecond,-1,-1,-1,30.0,28.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Aadya-totalPacketSendDelay,0.0,0.0,0.0,2.1e-05,3.4e-05,3.9999999999999996e-05,5.6999999999999996e-05,7.8e-05,8.3e-05,9.8e-05,0.000104,0.000121,0.000126,0.000134,0.00014199999999999998,0.000154,0.00017099999999999998,0.000184,0.00018999999999999998,0.00020899999999999998,0.000214,0.000235,0.00024599999999999996,0.000256,0.00026199999999999997,0.000281,0.000288,0.0003,0.000326,0.00033299999999999996,0.000336,0.000336,0.000341,0.00034399999999999996,0.00034399999999999996,0.00034899999999999997,0.00034899999999999997,0.00034899999999999997,0.000365,0.000367
Aadya-[totalPacketSendDelay/packetsSent_in_ms],0.0,0.0,0.0,0.0007241379310344827,0.00036111111111111115,0.00017647058823529402,0.00042500000000000003,0.0005000000000000001,0.00014285714285714284,0.0003488372093023256,0.00016666666666666658,0.0004473684210526318,0.0001515151515151515,0.0002285714285714287,0.00022857142857142794,0.00031578947368421107,0.00044736842105263104,0.0003421052631578952,0.00017647058823529364,0.0004523809523809524,0.00014285714285714325,0.0004999999999999999,0.00028947368421052553,0.0002857142857142865,0.00017647058823529364,0.0004418604651162797,0.0002058823529411767,0.0003333333333333324,0.0005652173913043485,0.00018918918918918792,9.375000000000058e-05,0.0,0.0001562500000000004,9.677419354838596e-05,0.0,0.0001562500000000004,0.0,0.0,0.00039024390243902463,6.451612903225789e-05
Aadya-qualityLimitationReason,"""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none"""
